dataset,model,fresh_ke20_label,ke50_label,count
RefCOCO,groundingdino,ranking_reversal,ranking_reversal,18
RefCOCO,groundingdino,stable,stable,358
RefCOCO,groundingdino,threatening_birth,threatening_birth,1
RefCOCO,owlv2,competitor_missing,competitor_missing,29
RefCOCO,owlv2,competitor_missing,stable,28
RefCOCO,owlv2,competitor_missing,threatening_birth,15
RefCOCO,owlv2,competitor_missing,ranking_reversal,1
RefCOCO,owlv2,ranking_reversal,ranking_reversal,602
RefCOCO,owlv2,ranking_reversal,threatening_birth,10
RefCOCO,owlv2,ranking_reversal,stable,1
RefCOCO,owlv2,stable,stable,2839
RefCOCO,owlv2,stable,threatening_birth,3
RefCOCO,owlv2,threatening_birth,threatening_birth,239
RefCOCO,owlv2,threatening_birth,stable,4
RefCOCO,owlv2,winner_missing,threatening_birth,12
RefCOCO,owlv2,winner_missing,winner_missing,4
RefCOCO,yoloworld,competitor_missing,competitor_missing,2
RefCOCO,yoloworld,ranking_reversal,ranking_reversal,107
RefCOCO,yoloworld,stable,stable,489
RefCOCO,yoloworld,threatening_birth,threatening_birth,51
RefCOCO,yoloworld,winner_missing,winner_missing,3
RefCOCO+,groundingdino,competitor_missing,ranking_reversal,4
RefCOCO+,groundingdino,competitor_missing,stable,2
RefCOCO+,groundingdino,competitor_missing,threatening_birth,1
RefCOCO+,groundingdino,ranking_reversal,ranking_reversal,73
RefCOCO+,groundingdino,stable,stable,775
RefCOCO+,groundingdino,threatening_birth,threatening_birth,25
RefCOCO+,owlv2,competitor_missing,stable,96
RefCOCO+,owlv2,competitor_missing,competitor_missing,84
RefCOCO+,owlv2,competitor_missing,threatening_birth,45
RefCOCO+,owlv2,competitor_missing,ranking_reversal,9
RefCOCO+,owlv2,ranking_reversal,ranking_reversal,1383
RefCOCO+,owlv2,ranking_reversal,threatening_birth,15
RefCOCO+,owlv2,stable,stable,5936
RefCOCO+,owlv2,stable,threatening_birth,4
RefCOCO+,owlv2,threatening_birth,threatening_birth,551
RefCOCO+,owlv2,threatening_birth,stable,1
RefCOCO+,owlv2,winner_missing,threatening_birth,28
RefCOCO+,owlv2,winner_missing,winner_missing,21
RefCOCO+,owlv2,winner_missing,competitor_missing,5
RefCOCO+,yoloworld,competitor_missing,threatening_birth,47
RefCOCO+,yoloworld,competitor_missing,competitor_missing,18
RefCOCO+,yoloworld,competitor_missing,stable,17
RefCOCO+,yoloworld,competitor_missing,ranking_reversal,5
RefCOCO+,yoloworld,ranking_reversal,ranking_reversal,415
RefCOCO+,yoloworld,ranking_reversal,threatening_birth,5
RefCOCO+,yoloworld,stable,stable,2340
RefCOCO+,yoloworld,stable,threatening_birth,6
RefCOCO+,yoloworld,threatening_birth,threatening_birth,190
RefCOCO+,yoloworld,threatening_birth,stable,3
RefCOCO+,yoloworld,winner_missing,competitor_missing,6
RefCOCO+,yoloworld,winner_missing,winner_missing,4
RefCOCO+,yoloworld,winner_missing,threatening_birth,2
Ref-L4,groundingdino,competitor_missing,stable,11
Ref-L4,groundingdino,competitor_missing,threatening_birth,5
Ref-L4,groundingdino,competitor_missing,ranking_reversal,1
Ref-L4,groundingdino,ranking_reversal,ranking_reversal,135
Ref-L4,groundingdino,stable,stable,1756
Ref-L4,groundingdino,threatening_birth,threatening_birth,33
Ref-L4,owlv2,competitor_missing,stable,134
Ref-L4,owlv2,competitor_missing,competitor_missing,100
Ref-L4,owlv2,competitor_missing,threatening_birth,51
Ref-L4,owlv2,competitor_missing,ranking_reversal,29
Ref-L4,owlv2,ranking_reversal,ranking_reversal,1114
Ref-L4,owlv2,ranking_reversal,threatening_birth,51
Ref-L4,owlv2,stable,stable,5572
Ref-L4,owlv2,stable,threatening_birth,19
Ref-L4,owlv2,threatening_birth,threatening_birth,782
Ref-L4,owlv2,threatening_birth,stable,1
Ref-L4,owlv2,threatening_birth,ranking_reversal,1
Ref-L4,owlv2,winner_missing,threatening_birth,15
Ref-L4,owlv2,winner_missing,winner_missing,4
Ref-L4,owlv2,winner_missing,competitor_missing,3
Ref-L4,owlv2,winner_missing,ranking_reversal,1
Ref-L4,yoloworld,competitor_missing,competitor_missing,127
Ref-L4,yoloworld,competitor_missing,stable,110
Ref-L4,yoloworld,competitor_missing,ranking_reversal,32
Ref-L4,yoloworld,competitor_missing,threatening_birth,30
Ref-L4,yoloworld,ranking_reversal,ranking_reversal,1499
Ref-L4,yoloworld,ranking_reversal,threatening_birth,5
Ref-L4,yoloworld,stable,stable,9569
Ref-L4,yoloworld,stable,threatening_birth,3
Ref-L4,yoloworld,threatening_birth,threatening_birth,540
Ref-L4,yoloworld,winner_missing,threatening_birth,11
Ref-L4,yoloworld,winner_missing,winner_missing,3
