dataset,model,exposure,selected_cap_hit_probes,stable_selected_fraction,net_stable_changes_vs_fresh_ke20,fail_to_stable_vs_fresh_ke20,stable_to_fail_vs_fresh_ke20,full_manifest_stability_delta_vs_fresh_ke20,fresh_ke20_stability_agreement_with_old,fresh_ke20_label_agreement_with_old,clean_prefix_mismatch_count
RefCOCO,groundingdino,20,377,0.9496021220159151,0,0,0,0.0,1.0,1.0,0
RefCOCO,groundingdino,30,377,0.9496021220159151,0,0,0,0.0,1.0,1.0,0
RefCOCO,groundingdino,40,377,0.9496021220159151,0,0,0,0.0,1.0,1.0,0
RefCOCO,groundingdino,50,377,0.9496021220159151,0,0,0,0.0,1.0,1.0,0
RefCOCO,owlv2,20,3787,0.7504621072088724,0,0,0,0.0,1.0,1.0,0
RefCOCO,owlv2,30,3787,0.7570636387641932,25,28,3,0.000625,1.0,1.0,0
RefCOCO,owlv2,40,3787,0.7575917612886189,27,30,3,0.000675,1.0,1.0,0
RefCOCO,owlv2,50,3787,0.7583839450752574,30,33,3,0.00075,1.0,1.0,0
RefCOCO,yoloworld,20,652,0.75,0,0,0,0.0,1.0,1.0,0
RefCOCO,yoloworld,30,652,0.75,0,0,0,0.0,1.0,1.0,0
RefCOCO,yoloworld,40,652,0.75,0,0,0,0.0,1.0,1.0,0
RefCOCO,yoloworld,50,652,0.75,0,0,0,0.0,1.0,1.0,0
RefCOCO+,groundingdino,20,880,0.8806818181818182,0,0,0,0.0,1.0,1.0,0
RefCOCO+,groundingdino,30,880,0.8829545454545454,2,2,0,2.5e-05,1.0,1.0,0
RefCOCO+,groundingdino,40,880,0.8829545454545454,2,2,0,2.5e-05,1.0,1.0,0
RefCOCO+,groundingdino,50,880,0.8829545454545454,2,2,0,2.5e-05,1.0,1.0,0
RefCOCO+,owlv2,20,8178,0.7263389581804842,0,0,0,0.0,1.0,1.0,0
RefCOCO+,owlv2,30,8178,0.7342871117632673,65,67,2,0.0008125,1.0,1.0,0
RefCOCO+,owlv2,40,8178,0.7372218146246026,89,93,4,0.0011125,1.0,1.0,0
RefCOCO+,owlv2,50,8178,0.7377109317681585,93,97,4,0.0011625,1.0,1.0,0
RefCOCO+,yoloworld,20,3058,0.7671680837148463,0,0,0,0.0,1.0,1.0,0
RefCOCO+,yoloworld,30,3058,0.7720732504905167,15,15,0,0.0001875,1.0,1.0,0
RefCOCO+,yoloworld,40,3058,0.7717462393721386,14,19,5,0.000175,1.0,1.0,0
RefCOCO+,yoloworld,50,3058,0.7717462393721386,14,20,6,0.000175,1.0,1.0,0
Ref-L4,groundingdino,20,1941,0.904688304997424,0,0,0,0.0,0.9994848016486347,0.9994848016486347,0
Ref-L4,groundingdino,30,1941,0.9082946934569809,7,7,0,8.75e-05,0.9994848016486347,0.9994848016486347,0
Ref-L4,groundingdino,40,1941,0.910355486862442,11,11,0,0.0001375,0.9994848016486347,0.9994848016486347,0
Ref-L4,groundingdino,50,1941,0.910355486862442,11,11,0,0.0001375,0.9994848016486347,0.9994848016486347,0
Ref-L4,owlv2,20,7877,0.7097879903516567,0,0,0,0.0,1.0,1.0,0
Ref-L4,owlv2,30,7877,0.7227370826456773,102,109,7,0.001275,1.0,1.0,0
Ref-L4,owlv2,40,7877,0.7236257458423258,109,125,16,0.0013625,1.0,1.0,0
Ref-L4,owlv2,50,7877,0.7245144090389742,116,135,19,0.00145,1.0,1.0,0
Ref-L4,yoloworld,20,11929,0.8024142845167239,0,0,0,0.0,0.9997485120295079,0.9996646827060106,0
Ref-L4,yoloworld,30,11929,0.8086176544555286,74,74,0,0.000925,0.9997485120295079,0.9996646827060106,0
Ref-L4,yoloworld,40,11929,0.8107133875429625,99,101,2,0.0012375,0.9997485120295079,0.9996646827060106,0
Ref-L4,yoloworld,50,11929,0.8113840221309414,107,110,3,0.0013375,0.9997485120295079,0.9996646827060106,0
