dataset,model,statistic,point_estimate,bootstrap_mean,lower_95,upper_95,bootstrap_repetitions,sample_count
refcoco,groundingdino,clean_eligibility,0.998,0.997979,0.994,1.0,2000,500
refcoco,groundingdino,coverage,0.944939879759519,0.9449196619096408,0.9335741771042084,0.9558883542084168,2000,500
refcoco,groundingdino,complete_case_persistence,0.9070303801495149,0.9072031193320342,0.8925579196320926,0.9221028477677016,2000,500
refcoco,groundingdino,eligible_operational_stability,0.8570891783567134,0.8572333973594649,0.8397245958835342,0.8739755748997995,2000,500
refcoco,groundingdino,full_manifest_operational_stability,0.855375,0.85550045,0.838444375,0.8724006249999999,2000,500
refcoco,groundingdino,coverage_optimism,0.04994120179280148,0.0499697219725694,0.04013340738644981,0.060041057961364525,2000,500
refcoco,groundingdino,eligibility_optimism,0.0017141783567133917,0.0017329473594648597,0.0,0.005219535965794774,2000,500
refcoco,groundingdino,total_optimism,0.05165538014951487,0.05170266933203426,0.041228971123552206,0.062297630688191476,2000,500
refcoco,yoloworld,clean_eligibility,0.728,0.72805,0.69,0.766,2000,500
refcoco,yoloworld,coverage,0.8071085164835164,0.8069096718823412,0.7843775245680078,0.8303822073891806,2000,500
refcoco,yoloworld,complete_case_persistence,0.8709951921031358,0.871083990294957,0.8501644207641669,0.8910357614963723,2000,500
refcoco,yoloworld,eligible_operational_stability,0.7029876373626374,0.7028847727331479,0.6781966016713092,0.7281802431955441,2000,500
refcoco,yoloworld,full_manifest_operational_stability,0.511775,0.5117379875,0.4771925,0.54390375,2000,500
refcoco,yoloworld,coverage_optimism,0.16800755474049844,0.16819921756180897,0.14732730514041656,0.18859971877842863,2000,500
refcoco,yoloworld,eligibility_optimism,0.19121263736263738,0.1911467852331479,0.1631457465175728,0.2201325877359198,2000,500
refcoco,yoloworld,total_optimism,0.3592201921031358,0.35934600279495693,0.3272874814644465,0.3903650961189524,2000,500
refcocoplus,groundingdino,clean_eligibility,1.0,1.0,1.0,1.0,2000,1000
refcocoplus,groundingdino,coverage,0.9374125,0.93735774375,0.9298371875,0.9445640624999999,2000,1000
refcocoplus,groundingdino,complete_case_persistence,0.9079914125318364,0.9080419090428615,0.8971991344141388,0.9186295825412398,2000,1000
refcocoplus,groundingdino,eligible_operational_stability,0.8511625,0.8511612375,0.83869875,0.8627140624999999,2000,1000
refcocoplus,groundingdino,full_manifest_operational_stability,0.8511625,0.8511612375,0.83869875,0.8627140624999999,2000,1000
refcocoplus,groundingdino,coverage_optimism,0.056828912531836306,0.05688067154286152,0.050402208478187965,0.06359119397698432,2000,1000
refcocoplus,groundingdino,eligibility_optimism,0.0,0.0,0.0,0.0,2000,1000
refcocoplus,groundingdino,total_optimism,0.056828912531836306,0.05688067154286152,0.050402208478187965,0.06359119397698432,2000,1000
refcocoplus,yoloworld,clean_eligibility,0.757,0.7569715,0.7309749999999999,0.784,2000,1000
refcocoplus,yoloworld,coverage,0.760435931307794,0.7601007782283931,0.7421696231744281,0.7772036873920553,2000,1000
refcocoplus,yoloworld,complete_case_persistence,0.8716668114305568,0.8716695685149869,0.8569793512011551,0.8861743225103678,2000,1000
refcocoplus,yoloworld,eligible_operational_stability,0.6628467635402906,0.6625545365977423,0.6438553356016756,0.6807232451226992,2000,1000
refcocoplus,yoloworld,full_manifest_operational_stability,0.501775,0.50153599375,0.478880625,0.5244628125,2000,1000
refcocoplus,yoloworld,coverage_optimism,0.2088200478902662,0.20911503191724448,0.19368160300688989,0.2253360526475565,2000,1000
refcocoplus,yoloworld,eligibility_optimism,0.16107176354029062,0.1610185428477423,0.14284370887061887,0.17864186128497272,2000,1000
refcocoplus,yoloworld,total_optimism,0.3698918114305568,0.3701335747649869,0.34856968824816076,0.3917962346103088,2000,1000
refl4,groundingdino,clean_eligibility,1.0,1.0,1.0,1.0,2000,1000
refl4,groundingdino,coverage,0.977625,0.97758151875,0.9735375,0.9812628125,2000,1000
refl4,groundingdino,complete_case_persistence,0.8902314282061118,0.8900825657154241,0.8781831850915861,0.901585782453435,2000,1000
refl4,groundingdino,eligible_operational_stability,0.8703125,0.87012976875,0.8575121875,0.8821928125,2000,1000
refl4,groundingdino,full_manifest_operational_stability,0.8703125,0.87012976875,0.8575121875,0.8821928125,2000,1000
refl4,groundingdino,coverage_optimism,0.01991892820611174,0.019952796965424107,0.01664042204853134,0.023490801812006513,2000,1000
refl4,groundingdino,eligibility_optimism,0.0,0.0,0.0,0.0,2000,1000
refl4,groundingdino,total_optimism,0.01991892820611174,0.019952796965424107,0.01664042204853134,0.023490801812006513,2000,1000
refl4,yoloworld,clean_eligibility,0.781,0.780453,0.753975,0.807,2000,1000
refl4,yoloworld,coverage,0.778585147247119,0.7789103831621285,0.7616907491065606,0.7950231211774211,2000,1000
refl4,yoloworld,complete_case_persistence,0.8820046869218435,0.8820684093016463,0.8686591591442914,0.895199791747869,2000,1000
refl4,yoloworld,eligible_operational_stability,0.6867157490396927,0.6870499946167485,0.6697771785686073,0.7050412251225555,2000,1000
refl4,yoloworld,full_manifest_operational_stability,0.536325,0.5362158374999999,0.51383625,0.559525625,2000,1000
refl4,yoloworld,coverage_optimism,0.19528893788215085,0.19501841468489783,0.18053467917722993,0.21090123873301647,2000,1000
refl4,yoloworld,eligibility_optimism,0.15039074903969263,0.15083415711674855,0.1329173378981919,0.1695461451453105,2000,1000
refl4,yoloworld,total_optimism,0.3456796869218435,0.34585257180164636,0.3235398413402649,0.3680062418385423,2000,1000
