dataset,model,sample_count,eligible_count,probe_budget,eligible_probe_trials,covered_probe_trials,stable_probe_trials,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,coverage_optimism,eligibility_optimism,total_optimism,predicted_coverage_optimism,predicted_eligibility_optimism,predicted_total_optimism,coverage_identity_residual,eligibility_identity_residual,total_identity_residual
refcoco,groundingdino,500,499,5,2495,2371,2154,0.998,0.9503006012024048,0.9084774356811472,0.8633266533066132,0.8616,0.04515078237453407,0.0017266533066131462,0.04687743568114722,0.045150782374533995,0.001726653306613228,0.04687743568114718,7.632783294297951e-17,8.174884380540703e-17,3.469446951953614e-17
refcoco,groundingdino,500,499,10,4990,4719,4279,0.998,0.9456913827655311,0.9067599067599068,0.8575150300601202,0.8558,0.04924487669978661,0.0017150300601201929,0.0509599067599068,0.04924487669978648,0.0017150300601202423,0.050959906759906685,1.3183898417423734e-16,4.9439619065339e-17,1.1796119636642288e-16
refcoco,groundingdino,500,499,20,9980,9434,8576,0.998,0.9452905811623247,0.9090523637905449,0.859318637274549,0.8576,0.049733726515995835,0.0017186372745490175,0.05145236379054485,0.049733726515995724,0.0017186372745490999,0.051452363790544825,1.1102230246251565e-16,8.239936510889834e-17,2.7755575615628914e-17
refcoco,groundingdino,500,499,40,19960,18873,17132,0.998,0.9455410821643286,0.9077518147618291,0.8583166332665331,0.8566,0.04943518149529602,0.0017166332665330408,0.05115181476182906,0.04943518149529602,0.0017166332665330677,0.05115181476182908,0.0,2.688821387764051e-17,2.0816681711721685e-17
refcoco,yoloworld,500,364,5,1820,1456,1268,0.728,0.8,0.8708791208791209,0.6967032967032967,0.5072,0.17417582417582422,0.1895032967032967,0.3636791208791209,0.17417582417582414,0.18950329670329671,0.36367912087912085,8.326672684688674e-17,2.7755575615628914e-17,5.551115123125783e-17
refcoco,yoloworld,500,364,10,3640,2937,2548,0.728,0.8068681318681319,0.867551923731699,0.7,0.5096,0.16755192373169903,0.1903999999999999,0.35795192373169893,0.167551923731699,0.1904,0.357951923731699,2.7755575615628914e-17,1.1102230246251565e-16,5.551115123125783e-17
refcoco,yoloworld,500,364,20,7280,5873,5113,0.728,0.8067307692307693,0.8705942448493104,0.7023351648351648,0.5113,0.16825908001414558,0.1910351648351648,0.3592942448493104,0.16825908001414555,0.19103516483516486,0.35929424484931033,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17
refcoco,yoloworld,500,364,40,14560,11717,10197,0.728,0.804739010989011,0.8702739609114961,0.7003434065934065,0.50985,0.16993055431808957,0.19049340659340652,0.3604239609114961,0.1699305543180895,0.1904934065934066,0.36042396091149614,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
refcocoplus,groundingdino,1000,1000,5,5000,4685,4271,1.0,0.937,0.9116328708644611,0.8542,0.8542,0.05743287086446114,0.0,0.05743287086446114,0.057432870864461,0.0,0.057432870864461,1.3877787807814457e-16,0.0,1.3877787807814457e-16
refcocoplus,groundingdino,1000,1000,10,10000,9382,8540,1.0,0.9382,0.9102536772543168,0.854,0.854,0.05625367725431685,0.0,0.05625367725431685,0.05625367725431675,0.0,0.05625367725431675,9.71445146547012e-17,0.0,9.71445146547012e-17
