dataset,model,clean_correct,sample_count,eligible_count,probe_budget,eligible_probe_trials,covered_probe_trials,stable_probe_trials,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,coverage_optimism,eligibility_optimism,total_optimism,predicted_coverage_optimism,predicted_eligibility_optimism,predicted_total_optimism,coverage_identity_residual,eligibility_identity_residual,total_identity_residual
refcoco,groundingdino,0,250,249,80,19920,18953,16561,0.996,0.9514558232931727,0.8737930670606237,0.8313755020080321,0.82805,0.04241756505259153,0.0033255020080321662,0.0457430670606237,0.042417565052591526,0.0033255020080321315,0.04574306706062366,6.938893903907228e-18,3.469446951953614e-17,4.163336342344337e-17
refcoco,groundingdino,1,250,250,80,20000,18769,17654,1.0,0.93845,0.9405935318876871,0.8827,0.8827,0.05789353188768709,0.0,0.05789353188768709,0.05789353188768714,0.0,0.05789353188768714,4.85722573273506e-17,0.0,4.85722573273506e-17
refcoco,owlv2,0,301,289,80,23120,20369,17069,0.9601328903654485,0.8810121107266436,0.837989101084982,0.7382785467128028,0.7088455149501661,0.09971055437217924,0.029433031762636674,0.1291435861348159,0.09971055437217927,0.029433031762636685,0.1291435861348159,2.7755575615628914e-17,1.0408340855860843e-17,0.0
refcoco,owlv2,1,199,199,80,15920,14120,12510,1.0,0.8869346733668342,0.8859773371104815,0.7858040201005025,0.7858040201005025,0.100173317009979,0.0,0.100173317009979,0.10017331700997906,0.0,0.10017331700997906,5.551115123125783e-17,0.0,5.551115123125783e-17
refcoco,yoloworld,0,347,211,80,16880,13301,11297,0.6080691642651297,0.7879739336492891,0.8493346364934967,0.6692535545023697,0.40695244956772336,0.18008108199112705,0.2623011049346463,0.44238218692577336,0.18008108199112702,0.26230110493464637,0.44238218692577336,2.7755575615628914e-17,5.551115123125783e-17,0.0
refcoco,yoloworld,1,153,153,80,12240,10202,9174,1.0,0.8334967320261438,0.8992354440305822,0.7495098039215686,0.7495098039215686,0.14972564010901357,0.0,0.14972564010901357,0.14972564010901357,0.0,0.14972564010901357,0.0,0.0,0.0
refcocoplus,groundingdino,0,505,505,80,40400,38356,33712,1.0,0.9494059405940594,0.8789237668161435,0.8344554455445544,0.8344554455445544,0.04446832127158906,0.0,0.04446832127158906,0.04446832127158908,0.0,0.04446832127158908,2.0816681711721685e-17,0.0,2.0816681711721685e-17
refcocoplus,groundingdino,1,495,495,80,39600,36637,34381,1.0,0.9251767676767677,0.9384229058056064,0.8682070707070707,0.8682070707070707,0.07021583509853568,0.0,0.07021583509853568,0.07021583509853561,0.0,0.07021583509853561,6.938893903907228e-17,0.0,6.938893903907228e-17
refcocoplus,owlv2,0,635,603,80,48240,41332,34991,0.9496062992125984,0.8567993366500829,0.8465837607664763,0.7253524046434494,0.6887992125984252,0.12123135612302693,0.03655319204502416,0.1577845481680511,0.12123135612302693,0.036553192045024226,0.15778454816805115,0.0,6.245004513516506e-17,5.551115123125783e-17
refcocoplus,owlv2,1,365,365,80,29200,26047,23664,1.0,0.8920205479452055,0.9085115368372557,0.8104109589041096,0.8104109589041096,0.09810057793314608,0.0,0.09810057793314608,0.09810057793314615,0.0,0.09810057793314615,6.938893903907228e-17,0.0,6.938893903907228e-17
refcocoplus,yoloworld,0,682,439,80,35120,26405,22877,0.6436950146627566,0.7518507972665148,0.8663889414883544,0.6513952164009111,0.41929985337243403,0.2149937250874433,0.2320953630284771,0.4470890881159204,0.2149937250874433,0.23209536302847716,0.4470890881159205,0.0,5.551115123125783e-17,1.1102230246251565e-16
refcocoplus,yoloworld,1,318,318,80,25440,19647,17265,1.0,0.7722877358490566,0.8787601160482517,0.6786556603773585,0.6786556603773585,0.2001044556708932,0.0,0.2001044556708932,0.20010445567089313,0.0,0.20010445567089313,5.551115123125783e-17,0.0,5.551115123125783e-17
refl4,groundingdino,0,613,613,80,49040,47917,41434,1.0,0.977100326264274,0.8647035498883486,0.8449021207177814,0.8449021207177814,0.019801429170567264,0.0,0.019801429170567264,0.019801429170567247,0.0,0.019801429170567247,1.734723475976807e-17,0.0,1.734723475976807e-17
refl4,groundingdino,1,387,387,80,30960,30293,28191,1.0,0.9784560723514212,0.9306110322516753,0.9105620155038759,0.9105620155038759,0.020049016747799353,0.0,0.020049016747799353,0.020049016747799343,0.0,0.020049016747799343,1.0408340855860843e-17,0.0,1.0408340855860843e-17
refl4,owlv2,0,611,609,80,48720,43395,36124,0.9967266775777414,0.8907019704433498,0.832446134347275,0.7414614121510673,0.7390343698854337,0.09098472219620768,0.0024270422656336166,0.0934117644618413,0.0909847221962077,0.0024270422656336435,0.09341176446184132,2.7755575615628914e-17,2.688821387764051e-17,2.7755575615628914e-17
refl4,owlv2,1,389,389,80,31120,27939,25291,1.0,0.8977827763496143,0.9052220909839293,0.8126928020565553,0.8126928020565553,0.092529288927374,0.0,0.092529288927374,0.09252928892737405,0.0,0.09252928892737405,5.551115123125783e-17,0.0,5.551115123125783e-17
refl4,yoloworld,0,702,483,80,38640,30209,26106,0.688034188034188,0.7818064182194617,0.8641795491409845,0.6756211180124223,0.46485042735042736,0.1885584311285622,0.21077069066199494,0.39932912179055713,0.1885584311285621,0.21077069066199502,0.39932912179055713,8.326672684688674e-17,8.326672684688674e-17,0.0
refl4,yoloworld,1,298,298,80,23840,18437,16800,1.0,0.7733640939597315,0.9112111514888539,0.7046979865771812,0.7046979865771812,0.2065131649116727,0.0,0.2065131649116727,0.20651316491167276,0.0,0.20651316491167276,5.551115123125783e-17,0.0,5.551115123125783e-17
