dataset,model,family,sample_count,eligible_count,clean_eligibility,eligible_probe_trials,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,coverage_optimism,eligibility_optimism,total_optimism,total_identity_residual
refcoco,groundingdino,blur,500,499,0.998,7984,0.9089428857715431,0.8554499104313077,0.7775551102204409,0.776,0.07789480021086681,0.0015551102204408584,0.07944991043130767,2.7755575615628914e-17
refcoco,groundingdino,brightness,500,499,0.998,7984,0.9825901803607214,0.9701720841300191,0.9532815631262525,0.951375,0.016890521003766645,0.0019065631262524807,0.018797084130019126,2.42861286636753e-17
refcoco,groundingdino,gaussian_noise,500,499,0.998,7984,0.9101953907815631,0.8822072382000825,0.8029809619238477,0.801375,0.0792262762762348,0.0016059619238477651,0.08083223820008256,5.551115123125783e-17
refcoco,groundingdino,resolution,500,499,0.998,7984,0.9517785571142284,0.8741939728911698,0.8320390781563126,0.830375,0.04215489473485723,0.0016640781563126428,0.04381897289116987,6.938893903907228e-18
refcoco,groundingdino,jpeg,500,499,0.998,7984,0.9711923847695391,0.9468661336084602,0.9195891783567134,0.91775,0.02727695525174678,0.0018391783567134334,0.029116133608460215,1.3877787807814457e-17
refcoco,owlv2,blur,500,488,0.976,7808,0.7765112704918032,0.7996041563582384,0.6209016393442623,0.606,0.1787025170139761,0.014901639344262363,0.19360415635823847,5.551115123125783e-17
refcoco,owlv2,brightness,500,488,0.976,7808,0.9547899590163934,0.9094567404426559,0.8683401639344263,0.8475,0.04111657650822964,0.020840163934426226,0.06195674044265587,1.5959455978986625e-16
refcoco,owlv2,gaussian_noise,500,488,0.976,7808,0.9088114754098361,0.8492108229988726,0.7717725409836066,0.75325,0.07743828201526604,0.018522540983606617,0.09596082299887265,5.551115123125783e-17
refcoco,owlv2,resolution,500,488,0.976,7808,0.8555327868852459,0.8480538922155688,0.7255379098360656,0.708125,0.12251598237950323,0.017412909836065582,0.1399288922155688,8.326672684688674e-17
refcoco,owlv2,jpeg,500,488,0.976,7808,0.9214907786885246,0.8700486448922863,0.8017418032786885,0.7825,0.06830684161359779,0.01924180327868852,0.08754864489228631,6.938893903907228e-17
refcoco,yoloworld,blur,500,364,0.728,5824,0.6696428571428571,0.772051282051282,0.5169986263736264,0.376375,0.25505265567765567,0.14062362637362635,0.395676282051282,5.551115123125783e-17
refcoco,yoloworld,brightness,500,364,0.728,5824,0.9424793956043956,0.9599198396793587,0.9047046703296703,0.658625,0.0552151693496884,0.24607967032967026,0.30129483967935866,5.551115123125783e-17
refcoco,yoloworld,gaussian_noise,500,364,0.728,5824,0.8631524725274725,0.8816391485975731,0.760989010989011,0.554,0.12065013760856214,0.2069890109890109,0.32763914859757304,5.551115123125783e-17
refcoco,yoloworld,resolution,500,364,0.728,5824,0.7163461538461539,0.802013422818792,0.5745192307692307,0.41825,0.22749419204956123,0.15626923076923072,0.38376342281879194,5.551115123125783e-17
refcoco,yoloworld,jpeg,500,364,0.728,5824,0.8439217032967034,0.8978636826042726,0.7577266483516484,0.551625,0.14013703425262425,0.20610164835164835,0.3462386826042726,5.551115123125783e-17
refcocoplus,groundingdino,blur,1000,1000,1.0,16000,0.894375,0.8589098532494759,0.7681875,0.7681875,0.09072235324947586,0.0,0.09072235324947586,0.0
refcocoplus,groundingdino,brightness,1000,1000,1.0,16000,0.9899375,0.9702632741966033,0.9605,0.9605,0.009763274196603278,0.0,0.009763274196603278,1.734723475976807e-17
refcocoplus,groundingdino,gaussian_noise,1000,1000,1.0,16000,0.9750625,0.9369912185116339,0.913625,0.913625,0.023366218511633896,0.0,0.023366218511633896,7.632783294297951e-17
refcocoplus,groundingdino,resolution,1000,1000,1.0,16000,0.943875,0.886836180638326,0.8370625,0.8370625,0.04977368063832599,0.0,0.04977368063832599,4.163336342344337e-17
refcocoplus,groundingdino,jpeg,1000,1000,1.0,16000,0.8838125,0.8785092992009051,0.7764375,0.7764375,0.10207179920090514,0.0,0.10207179920090514,2.7755575615628914e-17
refcocoplus,owlv2,blur,1000,968,0.968,15488,0.7529054752066116,0.8199125289426292,0.617316632231405,0.5975625,0.20259589671122424,0.019754132231404986,0.22235002894262923,5.551115123125783e-17
refcocoplus,owlv2,brightness,1000,968,0.968,15488,0.9553202479338843,0.9339686401730197,0.892239152892562,0.8636875,0.04172948728045778,0.028551652892561896,0.07028114017301967,9.71445146547012e-17
refcocoplus,owlv2,gaussian_noise,1000,968,0.968,15488,0.9065728305785123,0.8770030624599388,0.7950671487603306,0.769625,0.08193591369960818,0.025442148760330574,0.10737806245993875,8.326672684688674e-17
refcocoplus,owlv2,resolution,1000,968,0.968,15488,0.8560175619834711,0.8529944184643234,0.7301782024793388,0.7068125,0.1228162159849846,0.02336570247933889,0.1461819184643235,1.1102230246251565e-16
refcocoplus,owlv2,jpeg,1000,968,0.968,15488,0.879584194214876,0.8553182118476107,0.7523243801652892,0.72825,0.10299383168232146,0.02407438016528929,0.12706821184761075,5.551115123125783e-17
refcocoplus,yoloworld,blur,1000,757,0.757,12112,0.5913143989431968,0.781625244345155,0.4621862615587847,0.349875,0.31943898278637034,0.11231126155878468,0.431750244345155,0.0
refcocoplus,yoloworld,brightness,1000,757,0.757,12112,0.9450957727873184,0.9617366995719403,0.9089332892998679,0.6880625,0.05280341027207236,0.22087078929986792,0.2736741995719403,5.551115123125783e-17
refcocoplus,yoloworld,gaussian_noise,1000,757,0.757,12112,0.8735964332892999,0.902088649466024,0.78806142668428,0.5965625,0.11402722278174393,0.19149892668428004,0.30552614946602397,5.551115123125783e-17
refcocoplus,yoloworld,resolution,1000,757,0.757,12112,0.6531538969616909,0.8058399696624953,0.5263375165125496,0.3984375,0.2795024531499457,0.12790001651254956,0.40740246966249527,5.551115123125783e-17
refcocoplus,yoloworld,jpeg,1000,757,0.757,12112,0.7390191545574637,0.850742933750419,0.6287153236459709,0.4759375,0.22202761010444805,0.15277782364597092,0.37480543375041897,5.551115123125783e-17
refl4,groundingdino,blur,1000,1000,1.0,16000,0.9360625,0.845296120718435,0.79125,0.79125,0.05404612071843495,0.0,0.05404612071843495,3.469446951953614e-17
refl4,groundingdino,brightness,1000,1000,1.0,16000,0.9959375,0.953498588013806,0.949625,0.949625,0.0038735880138059953,0.0,0.0038735880138059953,6.201636426617085e-17
refl4,groundingdino,gaussian_noise,1000,1000,1.0,16000,0.991625,0.9182528677675532,0.9105625,0.9105625,0.007690367767553163,0.0,0.007690367767553163,1.1449174941446927e-16
refl4,groundingdino,resolution,1000,1000,1.0,16000,0.9875625,0.8722865641415101,0.8614375,0.8614375,0.0108490641415101,0.0,0.0108490641415101,7.806255641895632e-17
