dataset,model,diagnostic_budget,scope,predictor,predictor_availability,evaluated_samples,bias,mae,rmse,reference_probe_brier,spearman,tie_aware_aurc
refcoco,groundingdino,5,full_manifest,coverage_aware_operational,1.0,500,0.006225000000000007,0.06577499999999999,0.10881894366331626,0.09750500000000002,0.7984186073355001,0.05297596628520678
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.996,498,0.04985776439089692,0.08703982597054886,0.15331349272864103,0.10933177153056672,0.6362439205605065,0.08167163515183844
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.996,498,0.006450803212851412,0.06583835341365461,0.10894511762634648,0.09769578313253015,0.7955845621598236,0.05261355376876827
refcoco,groundingdino,10,full_manifest,coverage_aware_operational,1.0,500,0.00042500000000000204,0.047174999999999995,0.07817648303678032,0.09177500000000002,0.8905094665282186,0.0386660693041743
refcoco,groundingdino,10,paired_complete_cases,complete_case_persistence,0.996,498,0.04859397909096705,0.07588807611397973,0.14047778780120376,0.10556075334343168,0.6779209781436565,0.0752866478675029
refcoco,groundingdino,10,paired_complete_cases,coverage_aware_operational,0.996,498,0.0006275100401606448,0.047163654618473896,0.0782050292911249,0.09194277108433736,0.8890474831461992,0.03824618732194851
refcoco,groundingdino,20,full_manifest,coverage_aware_operational,1.0,500,0.0022249999999999987,0.034625,0.05832291573644102,0.08906499999999999,0.9350959169629874,0.03299800222529392
refcoco,groundingdino,20,paired_complete_cases,complete_case_persistence,0.998,499,0.05232759657925779,0.06906611317212705,0.13953365081758307,0.10530474742591406,0.7000234307971092,0.07399658041370528
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.998,499,0.00222945891783567,0.03469438877755511,0.05838132628261398,0.08924348697394789,0.9346726735854333,0.03277601844053169
refcoco,groundingdino,40,full_manifest,coverage_aware_operational,1.0,500,0.0012249999999999965,0.025275,0.043261559148971965,0.087535,0.9554075805076877,0.03082418722027737
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.998,499,0.05133239604203089,0.06347574729781753,0.1360807592290403,0.1043530807477829,0.7160659445817974,0.07258031739019552
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.998,499,0.0012274549098196359,0.02532565130260521,0.04330488570880317,0.08771042084168336,0.9551193890992108,0.03059784709281972
refcoco,yoloworld,5,full_manifest,coverage_aware_operational,1.0,500,-0.004574999999999994,0.075075,0.11906274606273785,0.12305500000000001,0.9491592424142716,0.2023153923045315
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.722,361,0.16463527239150508,0.2036472760849492,0.29047673108519223,0.23387811634349032,0.4343455811122464,0.23906399305799794
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.722,361,-0.00470914127423822,0.10235457063711913,0.1389513556046746,0.16880886426592798,0.870672313709838,0.12980956964072254
refcoco,yoloworld,10,full_manifest,coverage_aware_operational,1.0,500,-0.0021749999999999985,0.054125,0.08925210081561107,0.11684500000000002,0.9683232432638598,0.19384220642040217
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.728,364,0.16559338478981336,0.1927791950113379,0.28410305074440007,0.23027369522798946,0.4302840623231352,0.2415288683522213
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.728,364,-0.00298763736263736,0.07434752747252747,0.10460507559702513,0.16050137362637362,0.920245083578181,0.11960015927514663
refcoco,yoloworld,20,full_manifest,coverage_aware_operational,1.0,500,-0.0004750000000000012,0.039525,0.06613197033205649,0.1132525,0.9823375080752199,0.18819150440915566
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.728,364,0.169870606871232,0.18733343729845875,0.2788321315917287,0.22730650939370142,0.44526583307825734,0.23751119307264526
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.728,364,-0.0006524725274725288,0.054292582417582426,0.07750786471969534,0.1555666208791209,0.9555661384306338,0.11184048570051489
refcoco,yoloworld,40,full_manifest,coverage_aware_operational,1.0,500,-0.001925000000000001,0.032175,0.05159639037762235,0.11154125000000001,0.9880245013755989,0.18674811883292985
refcoco,yoloworld,40,paired_complete_cases,complete_case_persistence,0.728,364,0.17149752533809107,0.18482075178947757,0.2770501076730656,0.22631591394737155,0.44564305282866284,0.23689926790398866
refcoco,yoloworld,40,paired_complete_cases,coverage_aware_operational,0.728,364,-0.0026442307692307715,0.04419642857142857,0.06047190224838691,0.15321600274725275,0.9695036599704425,0.10982944713495675
