dataset,model,diagnostic_budget,statistic,definition,estimate,lower_95,upper_95,bootstrap_repetitions,paired_sample_count
refcoco,groundingdino,5,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.021202853078982595,0.01351907630522089,0.03002049866131193,2000,498
refcoco,groundingdino,5,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.011634572735385984,0.006731369924141015,0.01712300591253904,2000,498
refcoco,groundingdino,5,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.04301455823293172,0.032797858099062924,0.053749999999999985,2000,498
refcoco,groundingdino,10,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.028702813237075284,0.020372740963855426,0.03782246047682795,2000,498
refcoco,groundingdino,10,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.013601904376133908,0.008803964234994887,0.01943507256855588,2000,498
refcoco,groundingdino,10,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.04575714166188564,0.03374928284566838,0.05756051985720658,2000,498
refcoco,groundingdino,20,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.03448595325278657,0.026054916449872387,0.043942690453285166,2000,499
refcoco,groundingdino,20,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.016123361907286346,0.010383759327426877,0.022865722331242674,2000,499
refcoco,groundingdino,20,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.04971815230000381,0.03948697575836141,0.060952673189647116,2000,499
refcoco,groundingdino,40,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.038301622413479224,0.02918536001146489,0.048053041101992516,2000,499
refcoco,groundingdino,40,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.016733094787245148,0.010953430452658357,0.023344772400068724,2000,499
refcoco,groundingdino,40,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.04965427318263669,0.038987561698191564,0.060551211316571436,2000,499
refcoco,yoloworld,5,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.10140947599261312,0.08132271468144048,0.12239265927977837,2000,361
refcoco,yoloworld,5,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.06508129001231147,0.05154849569098181,0.07931021083410277,2000,361
refcoco,yoloworld,5,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.15777377654662975,0.12679824561403508,0.18709776084949217,2000,361
refcoco,yoloworld,10,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.11884516723356009,0.099561066413745,0.13897422270190127,2000,364
refcoco,yoloworld,10,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.07010858458016142,0.057067881139788036,0.08398977599663184,2000,364
refcoco,yoloworld,10,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.16117756137711495,0.13505104766265483,0.18615150226757368,2000,364
refcoco,yoloworld,20,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.13279417465330717,0.11373370733057243,0.1521716454357995,2000,364
refcoco,yoloworld,20,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.071566868984272,0.05864129880948489,0.08512746646068577,2000,364
refcoco,yoloworld,20,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.16634185751739872,0.14303968893515615,0.18819269841659048,2000,364
refcoco,yoloworld,40,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.14075895784523557,0.12072877697953913,0.16125588578783437,2000,364
refcoco,yoloworld,40,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.07314902879604819,0.05962862157704313,0.08685951220246968,2000,364
