model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
groundingdino,2,0.1,0.5,1000,1000,1.0,80000,0.9012374999999999,0.9012374999999999,0.0,0.012530059486140995,0.3090748006581445,0.6783951398557144
groundingdino,2,0.1,0.7,1000,1000,1.0,80000,0.8972,0.8972,0.0,0.012037937743190662,0.38010700389105057,0.6078550583657587
groundingdino,2,0.1,0.85,1000,1000,1.0,80000,0.8972,0.8972,0.0,0.012037937743190662,0.38010700389105057,0.6078550583657587
groundingdino,2,0.15,0.5,1000,1000,1.0,80000,0.901025,0.901025,0.0,0.014650164182874464,0.308411214953271,0.6769386208638545
groundingdino,2,0.15,0.7,1000,1000,1.0,80000,0.8969875,0.8969875,0.0,0.01407596165513894,0.379322897706589,0.6066011406382721
groundingdino,2,0.15,0.85,1000,1000,1.0,80000,0.8969875,0.8969875,0.0,0.01407596165513894,0.379322897706589,0.6066011406382721
groundingdino,2,0.25,0.5,1000,1000,1.0,80000,0.9002749999999999,0.9002749999999999,0.0,0.023063424417147156,0.3050889947355227,0.6718475808473302
groundingdino,2,0.25,0.7,1000,1000,1.0,80000,0.8962374999999999,0.8962374999999999,0.0,0.02216600409589206,0.3756173954945187,0.6022166004095892
groundingdino,2,0.25,0.85,1000,1000,1.0,80000,0.8962374999999999,0.8962374999999999,0.0,0.02216600409589206,0.3756173954945187,0.6022166004095892
groundingdino,3,0.1,0.5,1000,1000,1.0,80000,0.8936624999999999,0.8936624999999999,0.0,0.07581991301281298,0.14164805454331728,0.7825320324438697
groundingdino,3,0.1,0.7,1000,1000,1.0,80000,0.8908625,0.8908625,0.0,0.07387469934715382,0.20398579773221853,0.7221395029206277
groundingdino,3,0.1,0.85,1000,1000,1.0,80000,0.8908625,0.8908625,0.0,0.07387469934715382,0.20398579773221853,0.7221395029206277
groundingdino,3,0.15,0.5,1000,1000,1.0,80000,0.89195,0.89195,0.0,0.09173993521517816,0.13824618232299862,0.7700138824618232
groundingdino,3,0.15,0.7,1000,1000,1.0,80000,0.88915,0.88915,0.0,0.08942264321154714,0.1997068110058638,0.7108705457825891
groundingdino,3,0.15,0.85,1000,1000,1.0,80000,0.88915,0.88915,0.0,0.08942264321154714,0.1997068110058638,0.7108705457825891
groundingdino,3,0.25,0.5,1000,1000,1.0,80000,0.8891749999999999,0.8891749999999999,0.0,0.12124971802391157,0.13027295285359802,0.7484773291224904
groundingdino,3,0.25,0.7,1000,1000,1.0,80000,0.886375,0.886375,0.0,0.11826182618261827,0.19042904290429044,0.6913091309130913
groundingdino,3,0.25,0.85,1000,1000,1.0,80000,0.886375,0.886375,0.0,0.11826182618261827,0.19042904290429044,0.6913091309130913
groundingdino,5,0.1,0.5,1000,1000,1.0,80000,0.85685,0.85685,0.00026196297589940623,0.32413552217953195,0.04488298987076493,0.6307195249738037
groundingdino,5,0.1,0.7,1000,1000,1.0,80000,0.8558250000000001,0.8558250000000001,0.0002601005722212589,0.3218311080284377,0.07690306918675222,0.6010057222125889
groundingdino,5,0.1,0.85,1000,1000,1.0,80000,0.8558250000000001,0.8558250000000001,0.0002601005722212589,0.3218311080284377,0.07690306918675222,0.6010057222125889
