model,family,trials,operational_stability,family_risk,probe_weight,risk_contribution,risk_share
groundingdino,jpeg,8000,0.77325,0.22675,0.2,0.04535,0.3065224738087191
groundingdino,gaussian_noise,8000,0.916625,0.08337499999999998,0.2,0.016674999999999995,0.11270699560662381
groundingdino,resolution,8000,0.841625,0.15837500000000004,0.2,0.03167500000000001,0.21409259885096318
groundingdino,blur,8000,0.766,0.23399999999999999,0.2,0.0468,0.31632308212233856
groundingdino,brightness,8000,0.96275,0.037250000000000005,0.2,0.007450000000000002,0.05035484961135519
yoloworld,jpeg,6056,0.6287978863936592,0.3712021136063408,0.2,0.07424042272126817,0.22104228121927239
yoloworld,gaussian_noise,6056,0.7835204755614267,0.21647952443857332,0.2,0.04329590488771467,0.1289085545722714
yoloworld,resolution,6056,0.5277410832232496,0.47225891677675036,0.2,0.09445178335535008,0.2812192723697149
yoloworld,blur,6056,0.4679656538969617,0.5320343461030383,0.2,0.10640686922060767,0.31681415929203544
yoloworld,brightness,6056,0.9126486129458389,0.08735138705416112,0.2,0.017470277410832225,0.052015732546705974
