model,diagnostic_budget,family,trials,operational_stability,risk_share,reference_operational_stability,reference_risk_share,absolute_stability_error,absolute_risk_share_error
groundingdino,5,jpeg,1000,0.777,0.3058984910836762,0.7764375,0.3004115226337449,0.0005625000000000213,0.005486968449931351
groundingdino,5,gaussian_noise,1000,0.922,0.1069958847736625,0.913625,0.11606617955824303,0.008375000000000021,0.009070294784580532
groundingdino,5,resolution,1000,0.846,0.21124828532235942,0.8370625,0.21894683799445702,0.008937499999999932,0.007698552672097597
groundingdino,5,blur,1000,0.762,0.32647462277091904,0.7681875,0.3114974384815655,0.0061875000000000124,0.014977184289353518
groundingdino,5,brightness,1000,0.964,0.049382716049382755,0.9605,0.053078021331989564,0.0034999999999999476,0.003695305282606809
groundingdino,10,jpeg,2000,0.7735,0.3102739726027398,0.7764375,0.3004115226337449,0.0029375000000000373,0.009862449968994935
groundingdino,10,gaussian_noise,2000,0.919,0.11095890410958899,0.913625,0.11606617955824303,0.005375000000000019,0.005107275448654039
groundingdino,10,resolution,2000,0.846,0.21095890410958912,0.8370625,0.21894683799445702,0.008937499999999932,0.007987933884867904
groundingdino,10,blur,2000,0.768,0.31780821917808216,0.7681875,0.3114974384815655,0.0001875000000000071,0.006310780696516638
groundingdino,10,brightness,2000,0.9635,0.049999999999999975,0.9605,0.053078021331989564,0.0030000000000000027,0.003078021331989589
groundingdino,20,jpeg,4000,0.773,0.3084239130434782,0.7764375,0.3004115226337449,0.0034374999999999822,0.008012390409733339
groundingdino,20,gaussian_noise,4000,0.91875,0.11039402173913052,0.913625,0.11606617955824303,0.005124999999999935,0.005672157819112511
groundingdino,20,resolution,4000,0.84375,0.21229619565217392,0.8370625,0.21894683799445702,0.006687499999999957,0.006650642342283103
groundingdino,20,blur,4000,0.76775,0.31555706521739124,0.7681875,0.3114974384815655,0.00043749999999997957,0.0040596267358257165
groundingdino,20,brightness,4000,0.96075,0.053328804347826095,0.9605,0.053078021331989564,0.00024999999999997247,0.00025078301583653095
groundingdino,40,jpeg,8000,0.77325,0.3065224738087191,0.7764375,0.3004115226337449,0.0031875000000000098,0.006110951174974233
groundingdino,40,gaussian_noise,8000,0.916625,0.11270699560662381,0.913625,0.11606617955824303,0.0030000000000000027,0.0033591839516192157
groundingdino,40,resolution,8000,0.841625,0.21409259885096318,0.8370625,0.21894683799445702,0.004562499999999914,0.004854239143493838
groundingdino,40,blur,8000,0.766,0.31632308212233856,0.7681875,0.3114974384815655,0.002187500000000009,0.004825643640773036
groundingdino,40,brightness,8000,0.96275,0.05035484961135519,0.9605,0.053078021331989564,0.0022499999999999742,0.002723171720634375
yoloworld,5,jpeg,757,0.6274768824306473,0.22048475371383894,0.6287153236459709,0.2202468410226271,0.0012384412153236823,0.00023791269121184455
yoloworld,5,gaussian_noise,757,0.7899603698811096,0.12431587177482409,0.78806142668428,0.1257224018023313,0.0018989431968295944,0.001406530027507208
yoloworld,5,resolution,757,0.5138705416116248,0.2877247849882721,0.5263375165125496,0.28097756881183267,0.012466974900924743,0.006747216176439419
yoloworld,5,blur,757,0.4702774108322325,0.31352619233776385,0.4621862615587847,0.31903222646684304,0.00809114927344784,0.005506034129079185
yoloworld,5,brightness,757,0.9088507265521797,0.05394839718530099,0.9089332892998679,0.05402096189636592,8.256274768825289e-05,7.256471106492635e-05
yoloworld,10,jpeg,1514,0.6301188903566711,0.21926389976507435,0.6287153236459709,0.2202468410226271,0.0014035667107001881,0.000982941257552744
yoloworld,10,gaussian_noise,1514,0.7873183619550859,0.12607674236491775,0.78806142668428,0.1257224018023313,0.000743064729194165,0.0003543405625864582
yoloworld,10,resolution,1514,0.5237780713342141,0.28230227094753324,0.5263375165125496,0.28097756881183267,0.0025594451783355066,0.0013247021357005728
yoloworld,10,blur,1514,0.4663143989431968,0.31636648394675015,0.4621862615587847,0.31903222646684304,0.004128137384412145,0.002665742520092884
yoloworld,10,brightness,1514,0.9055482166446499,0.05599060297572436,0.9089332892998679,0.05402096189636592,0.0033850726552180355,0.0019696410793584446
yoloworld,20,jpeg,3028,0.6248348745046235,0.22296368989205106,0.6287153236459709,0.2202468410226271,0.003880449141347442,0.002716848869423971
yoloworld,20,gaussian_noise,3028,0.7843461030383091,0.12816486751717374,0.78806142668428,0.1257224018023313,0.003715323645970936,0.00244246571484244
yoloworld,20,resolution,3028,0.5270805812417437,0.2810598626104024,0.5263375165125496,0.28097756881183267,0.000743064729194165,8.229379856972141e-05
yoloworld,20,blur,3028,0.4686261558784676,0.31579980372914623,0.4621862615587847,0.31903222646684304,0.006439894319682948,0.003232422737696805
yoloworld,20,brightness,3028,0.9124834874504624,0.05201177625122669,0.9089332892998679,0.05402096189636592,0.0035501981505944302,0.0020091856451392304
yoloworld,40,jpeg,6056,0.6287978863936592,0.22104228121927239,0.6287153236459709,0.2202468410226271,8.256274768825289e-05,0.0007954401966452918
yoloworld,40,gaussian_noise,6056,0.7835204755614267,0.1289085545722714,0.78806142668428,0.1257224018023313,0.004540951122853354,0.0031861527699401093
yoloworld,40,resolution,6056,0.5277410832232496,0.2812192723697149,0.5263375165125496,0.28097756881183267,0.001403566710700077,0.00024170355788222242
yoloworld,40,blur,6056,0.4679656538969617,0.31681415929203544,0.4621862615587847,0.31903222646684304,0.005779392338177036,0.002218067174807603
yoloworld,40,brightness,6056,0.9126486129458389,0.052015732546705974,0.9089332892998679,0.05402096189636592,0.003715323645970936,0.002005229349659944
