model,family,operational_stability_diagnostic,risk_share_diagnostic,operational_stability_reference,risk_share_reference,absolute_stability_error,absolute_risk_share_error
groundingdino,jpeg,0.77325,0.3065224738087191,0.7764375,0.3004115226337449,0.0031875000000000098,0.006110951174974233
groundingdino,gaussian_noise,0.916625,0.11270699560662381,0.913625,0.11606617955824303,0.0030000000000000027,0.0033591839516192157
groundingdino,resolution,0.841625,0.21409259885096318,0.8370625,0.21894683799445702,0.004562499999999914,0.004854239143493838
groundingdino,blur,0.766,0.31632308212233856,0.7681875,0.3114974384815655,0.002187500000000009,0.004825643640773036
groundingdino,brightness,0.96275,0.05035484961135519,0.9605,0.053078021331989564,0.0022499999999999742,0.002723171720634375
yoloworld,jpeg,0.6287978863936592,0.22104228121927239,0.6287153236459709,0.2202468410226271,8.256274768825289e-05,0.0007954401966452918
yoloworld,gaussian_noise,0.7835204755614267,0.1289085545722714,0.78806142668428,0.1257224018023313,0.004540951122853354,0.0031861527699401093
yoloworld,resolution,0.5277410832232496,0.2812192723697149,0.5263375165125496,0.28097756881183267,0.001403566710700077,0.00024170355788222242
yoloworld,blur,0.4679656538969617,0.31681415929203544,0.4621862615587847,0.31903222646684304,0.005779392338177036,0.002218067174807603
yoloworld,brightness,0.9126486129458389,0.052015732546705974,0.9089332892998679,0.05402096189636592,0.003715323645970936,0.002005229349659944
owlv2,jpeg,0.7509039256198347,0.20670810115730823,0.7523243801652892,0.20420548309821665,0.0014204545454545858,0.002502618059091577
owlv2,gaussian_noise,0.796875,0.1685597942563223,0.7950671487603306,0.1689645994144264,0.0018078512396694224,0.00040480515810409345
owlv2,resolution,0.7368285123966942,0.21838834119159878,0.7301782024793388,0.22246473249933457,0.006650309917355379,0.004076391307735794
owlv2,blur,0.6154442148760331,0.3191170167166738,0.617316632231405,0.3155177002927868,0.0018724173553719137,0.003599316423887
owlv2,brightness,0.8948863636363636,0.08722674667809686,0.892239152892562,0.0888474846952356,0.002647210743801698,0.0016207380171387314
