model,diagnostic_budget,sample_count,eligible_count,clean_eligibility,diagnostic_full_manifest_mean,reference_full_manifest_mean,diagnostic_eligible_mean,reference_eligible_mean,mae_all,rmse_all,bias_all,spearman_all,mae_eligible,spearman_eligible,reference_inside_diagnostic_cp_interval_eligible,mean_diagnostic_cp_width
groundingdino,5,1000,1000,1.0,0.8542000000000001,0.8511625,0.8542000000000001,0.8511625,0.0681125,0.11032551268858894,0.0030375000000000085,0.8119101264819305,0.0681125,0.8119101264819305,0.997,0.613293857456304
groundingdino,10,1000,1000,1.0,0.854,0.8511625,0.854,0.8511625,0.0495375,0.08060222546555398,0.002837500000000004,0.8954855973750271,0.0495375,0.8954855973750271,0.989,0.42112526513361503
groundingdino,20,1000,1000,1.0,0.8528,0.8511625,0.8528,0.8511625,0.0361375,0.05802343276642636,0.001637499999999997,0.938818556430675,0.0361375,0.938818556430675,0.984,0.2798096578190987
groundingdino,40,1000,1000,1.0,0.85205,0.8511625,0.85205,0.8511625,0.0275625,0.04358719708813587,0.0008874999999999974,0.958689469977793,0.0275625,0.958689469977793,0.97,0.18498713040738515
owlv2,5,1000,968,0.968,0.7292000000000001,0.7331875,0.7533057851239668,0.7574251033057852,0.09276249999999998,0.13194281431741556,-0.003987499999999992,0.8676345257637715,0.09582902892561984,0.8536046269442434,0.9948347107438017,0.6503480005843533
owlv2,10,1000,968,0.968,0.7349,0.7331875,0.7591942148760331,0.7574251033057852,0.07051249999999999,0.10138494094292308,0.0017125000000000018,0.9065820577109993,0.0728434917355372,0.8968429689641192,0.9803719008264463,0.46564033050568737
owlv2,20,1000,968,0.968,0.7337,0.7331875,0.7579545454545455,0.7574251033057852,0.0503625,0.07329840550789628,0.000512499999999997,0.9506241774595703,0.05202737603305785,0.9455316192549859,0.9783057851239669,0.3235887504882241
owlv2,40,1000,968,0.968,0.7347,0.7331875,0.7589876033057852,0.7574251033057852,0.0395625,0.05739800736959428,0.0015124999999999974,0.9667917087401587,0.04087035123966942,0.9633740614340807,0.9390495867768595,0.22270469451507843
yoloworld,5,1000,757,0.757,0.5012,0.501775,0.6620871862615588,0.6628467635402906,0.0775,0.12245534900525987,-0.0005749999999999926,0.9446233970818572,0.1023778071334214,0.87841562845964,1.0,0.6853053445281063
yoloworld,10,1000,757,0.757,0.5015999999999999,0.501775,0.6626155878467636,0.6628467635402906,0.054924999999999995,0.08730871949582127,-0.0001749999999999976,0.9693997567131839,0.072556142668428,0.9307485370083998,0.9960369881109643,0.5060515328169493
yoloworld,20,1000,757,0.757,0.50225,0.501775,0.6634742404227213,0.6628467635402906,0.04035,0.06375980316782667,0.00047500000000000076,0.9826666887727531,0.053302509907529716,0.9609407653690729,0.9960369881109643,0.3561107256821122
yoloworld,40,1000,757,0.757,0.50275,0.501775,0.6641347424042272,0.6628467635402906,0.031,0.04831213615645659,0.0009750000000000005,0.989652229982236,0.04095112285336856,0.9764378520196526,0.9801849405548216,0.24716511137918482
