comparison,model_or_pair,diagnostic_budget,statistic,estimate,lower_95,upper_95,bootstrap_repetitions,sample_count
paired_cross_model,groundingdino-yoloworld,5,diagnostic_difference,0.35325120000000004,0.32319499999999995,0.38480000000000003,2000,1000
paired_cross_model,groundingdino-yoloworld,5,reference_difference,0.3497239,0.32646156249999997,0.37573875,2000,1000
paired_cross_model,groundingdino-yoloworld,10,diagnostic_difference,0.35290060000000006,0.324795,0.38180250000000004,2000,1000
paired_cross_model,groundingdino-yoloworld,10,reference_difference,0.3497239,0.32646156249999997,0.37573875,2000,1000
paired_cross_model,groundingdino-yoloworld,20,diagnostic_difference,0.35092565,0.3254499999999999,0.37900375000000003,2000,1000
paired_cross_model,groundingdino-yoloworld,20,reference_difference,0.3497239,0.32646156249999997,0.37573875,2000,1000
paired_cross_model,groundingdino-yoloworld,40,diagnostic_difference,0.34978868750000003,0.32582437500000005,0.37535062499999994,2000,1000
paired_cross_model,groundingdino-yoloworld,40,reference_difference,0.3497239,0.32646156249999997,0.37573875,2000,1000
single_model,groundingdino,5,diagnostic_mean,0.8541997,0.8363950000000001,0.8708049999999998,2000,1000
single_model,groundingdino,5,reference_mean,0.8512505000000001,0.83843625,0.8632753125000001,2000,1000
single_model,groundingdino,10,diagnostic_mean,0.8541737,0.8392999999999999,0.8686025,2000,1000
single_model,groundingdino,10,reference_mean,0.8512505000000001,0.83843625,0.8632753125000001,2000,1000
single_model,groundingdino,20,diagnostic_mean,0.8529239750000001,0.83845,0.8660512499999999,2000,1000
single_model,groundingdino,20,reference_mean,0.8512505000000001,0.83843625,0.8632753125000001,2000,1000
single_model,groundingdino,40,diagnostic_mean,0.85229295,0.83922375,0.8648012499999999,2000,1000
single_model,groundingdino,40,reference_mean,0.8512505000000001,0.83843625,0.8632753125000001,2000,1000
single_model,yoloworld,5,diagnostic_mean,0.5009485,0.47340000000000004,0.5272,2000,1000
single_model,yoloworld,5,reference_mean,0.5015265999999999,0.47836156249999995,0.5228875,2000,1000
single_model,yoloworld,10,diagnostic_mean,0.5012731,0.4750975,0.5247999999999999,2000,1000
single_model,yoloworld,10,reference_mean,0.5015265999999999,0.47836156249999995,0.5228875,2000,1000
single_model,yoloworld,20,diagnostic_mean,0.501998325,0.47729874999999994,0.5245599999999999,2000,1000
single_model,yoloworld,20,reference_mean,0.5015265999999999,0.47836156249999995,0.5228875,2000,1000
single_model,yoloworld,40,diagnostic_mean,0.5025042625,0.47962437500000005,0.5246,2000,1000
single_model,yoloworld,40,reference_mean,0.5015265999999999,0.47836156249999995,0.5228875,2000,1000
