model,family,trials,operational_stability,family_risk,probe_weight,risk_contribution,risk_share
groundingdino,resolution,16000,0.8370625,0.16293749999999996,0.2,0.03258749999999999,0.21894683799445702
groundingdino,brightness,16000,0.9605,0.03949999999999998,0.2,0.007899999999999996,0.053078021331989564
groundingdino,jpeg,16000,0.7764375,0.2235625,0.2,0.0447125,0.3004115226337449
groundingdino,blur,16000,0.7681875,0.23181249999999998,0.2,0.0463625,0.3114974384815655
groundingdino,gaussian_noise,16000,0.913625,0.08637499999999998,0.2,0.017274999999999995,0.11606617955824303
yoloworld,resolution,12112,0.5263375165125496,0.47366248348745044,0.2,0.09473249669749009,0.28097756881183267
yoloworld,brightness,12112,0.9089332892998679,0.09106671070013206,0.2,0.01821334214002641,0.05402096189636592
yoloworld,jpeg,12112,0.6287153236459709,0.37128467635402906,0.2,0.07425693527080582,0.2202468410226271
yoloworld,blur,12112,0.4621862615587847,0.5378137384412154,0.2,0.10756274768824309,0.31903222646684304
yoloworld,gaussian_noise,12112,0.78806142668428,0.21193857331571997,0.2,0.042387714663144,0.1257224018023313
owlv2,resolution,15488,0.7301782024793388,0.26982179752066116,0.2,0.05396435950413223,0.22246473249933457
owlv2,brightness,15488,0.892239152892562,0.10776084710743805,0.2,0.02155216942148761,0.0888474846952356
owlv2,jpeg,15488,0.7523243801652892,0.24767561983471076,0.2,0.04953512396694215,0.20420548309821665
owlv2,blur,15488,0.617316632231405,0.382683367768595,0.2,0.07653667355371901,0.3155177002927868
owlv2,gaussian_noise,15488,0.7950671487603306,0.20493285123966942,0.2,0.04098657024793389,0.1689645994144264
