model,diagnostic_budget,threshold,retained_samples,coverage,reference_risk
groundingdino,5,1.0,591,0.591,0.037182741116751274
groundingdino,5,0.8,805,0.805,0.0776863354037267
groundingdino,5,0.6,907,0.907,0.10835170893054025
groundingdino,5,0.4,974,0.974,0.13466375770020533
groundingdino,5,0.2,994,0.994,0.14539738430583501
groundingdino,5,0.0,1000,1.0,0.14883750000000004
groundingdino,10,1.0,502,0.502,0.017305776892430274
groundingdino,10,0.9,657,0.657,0.041400304414003046
groundingdino,10,0.8,771,0.771,0.06739623865110246
groundingdino,10,0.7,834,0.834,0.08238908872901678
groundingdino,10,0.6,898,0.898,0.10350779510022272
groundingdino,10,0.5,931,0.931,0.11475563909774436
groundingdino,10,0.4,968,0.968,0.13104338842975208
groundingdino,10,0.3,984,0.984,0.13976117886178863
groundingdino,10,0.2,996,0.996,0.14654869477911647
groundingdino,10,0.1,999,0.999,0.14833583583583584
groundingdino,10,0.0,1000,1.0,0.14883750000000004
groundingdino,20,1.0,439,0.439,0.007944191343963552
groundingdino,20,0.95,533,0.533,0.01822232645403377
groundingdino,20,0.9,609,0.609,0.02859195402298851
groundingdino,20,0.85,681,0.681,0.04291483113069016
groundingdino,20,0.8,739,0.739,0.055970906630581865
groundingdino,20,0.75,786,0.786,0.06723918575063613
groundingdino,20,0.7,829,0.829,0.07875452352231603
groundingdino,20,0.65,854,0.854,0.08659250585480092
groundingdino,20,0.6,884,0.884,0.09611142533936652
groundingdino,20,0.55,913,0.913,0.10751642935377874
groundingdino,20,0.5,936,0.936,0.11650641025641026
groundingdino,20,0.45,951,0.951,0.12272607781282861
groundingdino,20,0.4,964,0.964,0.12870850622406638
groundingdino,20,0.35,972,0.972,0.13249742798353908
groundingdino,20,0.3,984,0.984,0.13894817073170734
groundingdino,20,0.25,989,0.989,0.14203741152679478
groundingdino,20,0.2,995,0.995,0.14586683417085425
groundingdino,20,0.15,998,0.998,0.14764529058116235
groundingdino,20,0.1,1000,1.0,0.14883750000000004
groundingdino,40,1.0,393,0.393,0.004198473282442746
groundingdino,40,0.975,452,0.452,0.008987831858407078
groundingdino,40,0.95,506,0.506,0.014031620553359683
groundingdino,40,0.925,550,0.55,0.01761363636363636
groundingdino,40,0.9,588,0.588,0.0244047619047619
groundingdino,40,0.875,623,0.623,0.030276886035313
groundingdino,40,0.85,654,0.654,0.03520642201834862
groundingdino,40,0.825,694,0.694,0.04342579250720461
groundingdino,40,0.8,721,0.721,0.049029126213592227
groundingdino,40,0.775,748,0.748,0.05531417112299465
groundingdino,40,0.75,770,0.77,0.06099025974025974
groundingdino,40,0.725,791,0.791,0.06667193426042983
groundingdino,40,0.7,816,0.816,0.07345281862745098
groundingdino,40,0.675,833,0.833,0.07929171668667465
groundingdino,40,0.65,854,0.854,0.0857728337236534
groundingdino,40,0.625,866,0.866,0.08959295612009238
groundingdino,40,0.6,879,0.879,0.09399886234357224
groundingdino,40,0.575,891,0.891,0.09806397306397306
groundingdino,40,0.55,908,0.908,0.1042125550660793
groundingdino,40,0.525,920,0.92,0.10853260869565216
groundingdino,40,0.5,937,0.937,0.11647545357524013
groundingdino,40,0.475,943,0.943,0.11911452810180274
groundingdino,40,0.45,953,0.953,0.12329485834207765
groundingdino,40,0.425,958,0.958,0.12548277661795407
groundingdino,40,0.4,964,0.964,0.12813796680497927
groundingdino,40,0.375,971,0.971,0.13157826982492277
groundingdino,40,0.35,976,0.976,0.1341828893442623
groundingdino,40,0.325,979,0.979,0.13580183861082737
groundingdino,40,0.3,983,0.983,0.1381358087487284
groundingdino,40,0.275,987,0.987,0.14061550151975682
groundingdino,40,0.25,990,0.99,0.14247474747474745
groundingdino,40,0.225,992,0.992,0.14382560483870968
groundingdino,40,0.2,996,0.996,0.1462600401606426
groundingdino,40,0.175,998,0.998,0.1474949899799599
groundingdino,40,0.125,1000,1.0,0.14883750000000004
owlv2,5,1.0,413,0.413,0.056809927360774816
owlv2,5,0.8,626,0.626,0.10505191693290733
owlv2,5,0.6,773,0.773,0.15473803363518757
owlv2,5,0.4,888,0.888,0.20357545045045042
owlv2,5,0.2,946,0.946,0.2289112050739958
owlv2,5,0.0,1000,1.0,0.2668125
owlv2,10,1.0,321,0.321,0.03726635514018691
owlv2,10,0.9,476,0.476,0.06567752100840336
owlv2,10,0.8,586,0.586,0.091830204778157
owlv2,10,0.7,683,0.683,0.11744143484626648
owlv2,10,0.6,746,0.746,0.14063337801608577
owlv2,10,0.5,825,0.825,0.17266666666666666
owlv2,10,0.4,882,0.882,0.19692460317460317
owlv2,10,0.3,929,0.929,0.22082884822389665
owlv2,10,0.2,946,0.946,0.22885835095137422
owlv2,10,0.1,955,0.955,0.23390052356020943
owlv2,10,0.0,1000,1.0,0.2668125
owlv2,20,1.0,231,0.231,0.015259740259740254
owlv2,20,0.95,337,0.337,0.032678041543026705
owlv2,20,0.9,424,0.424,0.05038325471698112
owlv2,20,0.85,509,0.509,0.06736247544204321
owlv2,20,0.8,572,0.572,0.08208041958041959
owlv2,20,0.75,624,0.624,0.09581330128205127
owlv2,20,0.7,663,0.663,0.10778657616892912
owlv2,20,0.65,710,0.71,0.12308098591549296
owlv2,20,0.6,745,0.745,0.13635906040268458
owlv2,20,0.55,778,0.778,0.14919665809768637
owlv2,20,0.5,809,0.809,0.16208281829419036
owlv2,20,0.45,841,0.841,0.17667954815695602
owlv2,20,0.4,866,0.866,0.18744226327944574
owlv2,20,0.35,893,0.893,0.20058790593505038
owlv2,20,0.3,919,0.919,0.2139145810663765
owlv2,20,0.25,933,0.933,0.22138263665594857
owlv2,20,0.2,944,0.944,0.2277674788135593
owlv2,20,0.15,955,0.955,0.23396596858638743
owlv2,20,0.1,958,0.958,0.23580375782881002
owlv2,20,0.05,963,0.963,0.2391484942886812
owlv2,20,0.0,1000,1.0,0.2668125
owlv2,40,1.0,173,0.173,0.007731213872832363
owlv2,40,0.975,249,0.249,0.015512048192771079
owlv2,40,0.95,303,0.303,0.023638613861386132
owlv2,40,0.925,345,0.345,0.031920289855072455
owlv2,40,0.9,396,0.396,0.04056186868686869
owlv2,40,0.875,441,0.441,0.05005668934240362
owlv2,40,0.85,481,0.481,0.05826403326403326
owlv2,40,0.825,520,0.52,0.06615384615384615
owlv2,40,0.8,567,0.567,0.07806437389770722
owlv2,40,0.775,593,0.593,0.08558178752107926
owlv2,40,0.75,613,0.613,0.09133360522022838
owlv2,40,0.725,641,0.641,0.09949297971918876
owlv2,40,0.7,659,0.659,0.10453338391502275
owlv2,40,0.675,678,0.678,0.11012168141592922
owlv2,40,0.65,699,0.699,0.11668454935622317
owlv2,40,0.625,722,0.722,0.12614265927977839
owlv2,40,0.6,738,0.738,0.1325880758807588
owlv2,40,0.575,757,0.757,0.14009247027741084
owlv2,40,0.55,772,0.772,0.14553108808290155
owlv2,40,0.525,791,0.791,0.15387168141592922
owlv2,40,0.5,802,0.802,0.1581514962593516
owlv2,40,0.475,819,0.819,0.16553724053724053
owlv2,40,0.45,839,0.839,0.1744487485101311
