model,diagnostic_budget,tie_aware_aurc,overall_reference_risk,distinct_diagnostic_scores
groundingdino,5,0.055578265653846645,0.14883750000000004,6
groundingdino,10,0.04272940026851226,0.14883750000000004,11
groundingdino,20,0.03671375841559278,0.14883750000000004,19
groundingdino,40,0.03433216531085534,0.14883750000000004,35
owlv2,5,0.10632502616616313,0.2668125,6
owlv2,10,0.09677931466843151,0.2668125,11
owlv2,20,0.08739595151510672,0.2668125,21
owlv2,40,0.08416186633283072,0.2668125,41
yoloworld,5,0.21921978621881316,0.49822500000000003,6
yoloworld,10,0.2092311820999861,0.49822500000000003,11
yoloworld,20,0.20387238167006455,0.49822500000000003,21
yoloworld,40,0.20160137388065918,0.49822500000000003,40
