model,scope,sample_count,eligible_count,clean_eligibility,full_manifest_operational,eligible_operational,coverage,conditional_ranking,conditional_minus_operational,full_manifest_lower_95,full_manifest_upper_95
groundingdino,source_refcoco,500,499,0.998,0.855375,0.8570891783567134,0.9449398797595191,0.9070303801495148,0.04994120179280137,0.8385231249999999,0.87185125
groundingdino,target_refcocoplus_pooled,1000,1000,1.0,0.8511625,0.8511625,0.9374125,0.9079914125318364,0.056828912531836306,0.839544375,0.8627253125000002
groundingdino,target_refcocoplus_testA,500,500,1.0,0.85945,0.85945,0.929925,0.9242143183590075,0.06476431835900742,0.843674375,0.875001875
groundingdino,target_refcocoplus_testB,500,500,1.0,0.842875,0.842875,0.9449000000000001,0.8920256111757858,0.049150611175785786,0.825145625,0.860725625
yoloworld,source_refcoco,500,364,0.728,0.511775,0.7029876373626374,0.8071085164835166,0.8709951921031357,0.16800755474049833,0.478049375,0.544950625
yoloworld,target_refcocoplus_pooled,1000,757,0.757,0.501775,0.6628467635402906,0.7604359313077939,0.8716668114305568,0.2088200478902662,0.4797209375,0.5244765625
yoloworld,target_refcocoplus_testA,500,353,0.706,0.46959999999999996,0.6651558073654391,0.7540368271954673,0.8821264205879592,0.2169706132225201,0.43842437500000003,0.501125625
yoloworld,target_refcocoplus_testB,500,404,0.808,0.53395,0.6608292079207921,0.7660272277227723,0.8626706519104936,0.2018414439897015,0.50379375,0.5639781249999999
owlv2,source_refcoco,500,488,0.976,0.739475,0.7576588114754098,0.8834272540983606,0.8576357679260054,0.09997695645059557,0.71622375,0.7620750000000001
owlv2,target_refcocoplus_pooled,1000,968,0.968,0.7331875,0.7574251033057852,0.870080061983471,0.8705234568634146,0.11309835355762943,0.7161721875,0.7494253125000001
owlv2,target_refcocoplus_testA,500,488,0.976,0.7420249999999999,0.7602715163934427,0.8484631147540984,0.8960572394638329,0.13578572307039016,0.7201000000000001,0.7641999999999999
owlv2,target_refcocoplus_testB,500,480,0.96,0.72435,0.7545312499999999,0.8920572916666667,0.845832725149613,0.09130147514961318,0.699945625,0.7469
