scope,diagnostic_budget,sample_count,eligible_count,full_manifest_bias,eligible_mae,eligible_spearman,model
pooled,5,1000,1000,0.0030375000000000085,0.0681125,0.8119101264819305,groundingdino
pooled,10,1000,1000,0.002837500000000004,0.0495375,0.8954855973750271,groundingdino
pooled,20,1000,1000,0.001637499999999997,0.0361375,0.938818556430675,groundingdino
pooled,40,1000,1000,0.0008874999999999974,0.0275625,0.958689469977793,groundingdino
testA,5,500,500,0.00495000000000001,0.0658,0.8113586618640654,groundingdino
testA,10,500,500,0.003750000000000004,0.0482,0.8854237998442277,groundingdino
testA,20,500,500,0.0024499999999999973,0.03490000000000001,0.9332053396358352,groundingdino
testA,40,500,500,0.0021499999999999983,0.0275,0.9530219319107792,groundingdino
testB,5,500,500,0.0011250000000000077,0.070425,0.8117197095619456,groundingdino
testB,10,500,500,0.0019250000000000046,0.050875,0.9044217749227692,groundingdino
testB,20,500,500,0.0008249999999999966,0.037375,0.9439538385265052,groundingdino
testB,40,500,500,-0.0003750000000000031,0.027625,0.9636192637942528,groundingdino
pooled,5,1000,757,-0.0005749999999999926,0.1023778071334214,0.87841562845964,yoloworld
pooled,10,1000,757,-0.0001749999999999976,0.072556142668428,0.9307485370083998,yoloworld
pooled,20,1000,757,0.00047500000000000076,0.053302509907529716,0.9609407653690729,yoloworld
pooled,40,1000,757,0.0009750000000000005,0.04095112285336856,0.9764378520196526,yoloworld
testA,5,500,353,0.006000000000000007,0.10375354107648725,0.8710772085005433,yoloworld
testA,10,500,353,0.0048000000000000004,0.07138810198300283,0.9301579326540126,yoloworld
testA,20,500,353,0.004,0.05084985835694051,0.960996993508808,yoloworld
testA,40,500,353,0.0020999999999999994,0.03937677053824362,0.9763473212257827,yoloworld
testB,5,500,404,-0.007149999999999991,0.10117574257425743,0.8854360244131948,yoloworld
testB,10,500,404,-0.005149999999999997,0.07357673267326734,0.9316520847537239,yoloworld
testB,20,500,404,-0.0030499999999999993,0.05544554455445544,0.9605809564098641,yoloworld
testB,40,500,404,-0.0001499999999999988,0.04232673267326733,0.9761843889632777,yoloworld
