model,image_id,ref_id,category_id,query,clean_eligible,raw_clean_candidate_count,tracked_clean_candidate_count,clean_correct,clean_best_iou,diagnostic_budget,diagnostic_probe_count,diagnostic_coverage,diagnostic_coverage_lower,diagnostic_coverage_upper,diagnostic_conditional_ranking,diagnostic_conditional_ranking_lower,diagnostic_conditional_ranking_upper,diagnostic_operational,diagnostic_operational_lower,diagnostic_operational_upper,diagnostic_coverage_risk,diagnostic_ranking_risk,diagnostic_risk_decomposition_error,reference_probe_count,reference_coverage,reference_coverage_lower,reference_coverage_upper,reference_conditional_ranking,reference_conditional_ranking_lower,reference_conditional_ranking_upper,reference_operational,reference_operational_lower,reference_operational_upper,reference_coverage_risk,reference_ranking_risk,reference_risk_decomposition_error,full_manifest_operational
groundingdino,456389,494854,-1,blue shirt,1,12,5,0,0.3474901879795073,5,5,0.8,0.2835820638819106,0.994949236620532,1.0,0.3976353643835254,1.0,0.8,0.2835820638819106,0.994949236620532,0.1999999999999999,0.0,0.0,80,0.6625,0.5480943856258318,0.7644738620163491,1.0,0.9327654536936988,1.0,0.6625,0.5480943856258318,0.7644738620163491,0.3375,0.0,0.0,0.8
groundingdino,456389,494854,-1,blue shirt,1,12,5,0,0.3474901879795073,10,10,0.8,0.4439045376923585,0.9747892736731666,1.0,0.6305833524471808,1.0,0.8,0.4439045376923585,0.9747892736731666,0.1999999999999999,0.0,0.0,80,0.6625,0.5480943856258318,0.7644738620163491,1.0,0.9327654536936988,1.0,0.6625,0.5480943856258318,0.7644738620163491,0.3375,0.0,0.0,0.8
groundingdino,456389,494854,-1,blue shirt,1,12,5,0,0.3474901879795073,20,20,0.7,0.4572108177237109,0.8810684095942722,1.0,0.7683642383498835,1.0,0.7,0.4572108177237109,0.8810684095942722,0.3,0.0,0.0,80,0.6625,0.5480943856258318,0.7644738620163491,1.0,0.9327654536936988,1.0,0.6625,0.5480943856258318,0.7644738620163491,0.3375,0.0,0.0,0.7
groundingdino,456389,494854,-1,blue shirt,1,12,5,0,0.3474901879795073,40,40,0.625,0.4580147522326109,0.772737277518174,1.0,0.8628148284692875,1.0,0.625,0.4580147522326109,0.772737277518174,0.375,0.0,0.0,80,0.6625,0.5480943856258318,0.7644738620163491,1.0,0.9327654536936988,1.0,0.6625,0.5480943856258318,0.7644738620163491,0.3375,0.0,0.0,0.625
groundingdino,285220,457770,-1,batter,1,7,5,1,0.9536671453221728,5,5,0.4,0.0527449505263169,0.8533672003653268,1.0,0.158113883008419,1.0,0.4,0.0527449505263169,0.8533672003653268,0.6,0.0,0.0,80,0.3875,0.2805651331247821,0.5030244574981009,1.0,0.8878112530776301,1.0,0.3875,0.2805651331247821,0.5030244574981009,0.6125,0.0,0.0,0.4
groundingdino,285220,457770,-1,batter,1,7,5,1,0.9536671453221728,10,10,0.4,0.1215522581198272,0.7376219233930549,1.0,0.3976353643835254,1.0,0.4,0.1215522581198272,0.7376219233930549,0.6,0.0,0.0,80,0.3875,0.2805651331247821,0.5030244574981009,1.0,0.8878112530776301,1.0,0.3875,0.2805651331247821,0.5030244574981009,0.6125,0.0,0.0,0.4
groundingdino,285220,457770,-1,batter,1,7,5,1,0.9536671453221728,20,20,0.3,0.1189315904057277,0.5427891822762891,1.0,0.5407418735600996,1.0,0.3,0.1189315904057277,0.5427891822762891,0.7,0.0,0.0,80,0.3875,0.2805651331247821,0.5030244574981009,1.0,0.8878112530776301,1.0,0.3875,0.2805651331247821,0.5030244574981009,0.6125,0.0,0.0,0.3
groundingdino,285220,457770,-1,batter,1,7,5,1,0.9536671453221728,40,40,0.4,0.2486499865877437,0.5667329478067034,1.0,0.7940927857921773,1.0,0.4,0.2486499865877437,0.5667329478067034,0.6,0.0,0.0,80,0.3875,0.2805651331247821,0.5030244574981009,1.0,0.8878112530776301,1.0,0.3875,0.2805651331247821,0.5030244574981009,0.6125,0.0,0.0,0.4
groundingdino,576188,425901,-1,the number 2,1,20,5,1,0.9639838168120002,5,5,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,0.7375,0.6271491697875681,0.8295907488995917,0.7375,0.6271491697875681,0.8295907488995917,0.0,0.2624999999999999,0.0,1.0
groundingdino,576188,425901,-1,the number 2,1,20,5,1,0.9639838168120002,10,10,1.0,0.6915028921812392,1.0,0.8,0.4439045376923585,0.9747892736731666,0.8,0.4439045376923585,0.9747892736731666,0.0,0.1999999999999999,0.0,80,1.0,0.9549359649323076,1.0,0.7375,0.6271491697875681,0.8295907488995917,0.7375,0.6271491697875681,0.8295907488995917,0.0,0.2624999999999999,0.0,0.8
groundingdino,576188,425901,-1,the number 2,1,20,5,1,0.9639838168120002,20,20,1.0,0.8315665290169146,1.0,0.7,0.4572108177237109,0.8810684095942722,0.7,0.4572108177237109,0.8810684095942722,0.0,0.3,0.0,80,1.0,0.9549359649323076,1.0,0.7375,0.6271491697875681,0.8295907488995917,0.7375,0.6271491697875681,0.8295907488995917,0.0,0.2624999999999999,0.0,0.7
groundingdino,576188,425901,-1,the number 2,1,20,5,1,0.9639838168120002,40,40,1.0,0.9119026971211976,1.0,0.775,0.6154883226965773,0.891603361015928,0.775,0.6154883226965773,0.891603361015928,0.0,0.2249999999999999,0.0,80,1.0,0.9549359649323076,1.0,0.7375,0.6271491697875681,0.8295907488995917,0.7375,0.6271491697875681,0.8295907488995917,0.0,0.2624999999999999,0.0,0.775
groundingdino,76590,1759890,-1,person in white with belly,1,20,5,0,0.489681322260224,5,5,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,0.9875,0.9323122155360776,0.9996835774723672,0.9875,0.9323122155360776,0.9996835774723672,0.0,0.0124999999999999,0.0,1.0
groundingdino,76590,1759890,-1,person in white with belly,1,20,5,0,0.489681322260224,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,0.9875,0.9323122155360776,0.9996835774723672,0.9875,0.9323122155360776,0.9996835774723672,0.0,0.0124999999999999,0.0,1.0
groundingdino,76590,1759890,-1,person in white with belly,1,20,5,0,0.489681322260224,20,20,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,0.9875,0.9323122155360776,0.9996835774723672,0.9875,0.9323122155360776,0.9996835774723672,0.0,0.0124999999999999,0.0,1.0
groundingdino,76590,1759890,-1,person in white with belly,1,20,5,0,0.489681322260224,40,40,1.0,0.9119026971211976,1.0,0.975,0.8684141415172343,0.9993672550679504,0.975,0.8684141415172343,0.9993672550679504,0.0,0.025,0.0,80,1.0,0.9549359649323076,1.0,0.9875,0.9323122155360776,0.9996835774723672,0.9875,0.9323122155360776,0.9996835774723672,0.0,0.0124999999999999,0.0,0.975
groundingdino,425325,2154546,-1,pink shirt purple pants,1,20,5,0,0.462859899369527,5,5,0.8,0.2835820638819106,0.994949236620532,1.0,0.3976353643835254,1.0,0.8,0.2835820638819106,0.994949236620532,0.1999999999999999,0.0,0.0,80,0.8375,0.7381631061748872,0.9105383582774708,0.9701492537313432,0.8962924923524453,0.9963642692730956,0.8125,0.7096721043523089,0.8910863118524706,0.1624999999999999,0.0249999999999999,4.163336342344337e-17,0.8
