model,image_id,ref_id,category_id,query,clean_eligible,raw_clean_candidate_count,tracked_clean_candidate_count,clean_correct,clean_best_iou,diagnostic_budget,diagnostic_probe_count,diagnostic_coverage,diagnostic_coverage_lower,diagnostic_coverage_upper,diagnostic_conditional_ranking,diagnostic_conditional_ranking_lower,diagnostic_conditional_ranking_upper,diagnostic_operational,diagnostic_operational_lower,diagnostic_operational_upper,diagnostic_coverage_risk,diagnostic_ranking_risk,diagnostic_risk_decomposition_error,reference_probe_count,reference_coverage,reference_coverage_lower,reference_coverage_upper,reference_conditional_ranking,reference_conditional_ranking_lower,reference_conditional_ranking_upper,reference_operational,reference_operational_lower,reference_operational_upper,reference_coverage_risk,reference_ranking_risk,reference_risk_decomposition_error,full_manifest_operational
owlv2,456389,494854,-1,blue shirt,1,20,5,0,0.3532012557329721,5,5,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,0.0,0.0,0.0,1.0
owlv2,456389,494854,-1,blue shirt,1,20,5,0,0.3532012557329721,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,0.0,0.0,0.0,1.0
owlv2,456389,494854,-1,blue shirt,1,20,5,0,0.3532012557329721,20,20,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,0.0,0.0,0.0,1.0
owlv2,456389,494854,-1,blue shirt,1,20,5,0,0.3532012557329721,40,40,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,0.0,0.0,0.0,80,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,1.0,0.9549359649323076,1.0,0.0,0.0,0.0,1.0
owlv2,285220,457770,-1,batter,1,18,5,1,0.9580675073406748,5,5,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,285220,457770,-1,batter,1,18,5,1,0.9580675073406748,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,285220,457770,-1,batter,1,18,5,1,0.9580675073406748,20,20,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,285220,457770,-1,batter,1,18,5,1,0.9580675073406748,40,40,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,576188,425901,-1,the number 2,1,20,5,0,0.0294752376654195,5,5,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,0.0,0.0,0.0,80,0.9125,0.8279916615801152,0.9640936410104411,0.9863013698630136,0.926023676821656,0.9996532408474008,0.9,0.8124348925365684,0.955829059846371,0.0875,0.0125,9.367506770274757e-17,1.0
owlv2,576188,425901,-1,the number 2,1,20,5,0,0.0294752376654195,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,0.9125,0.8279916615801152,0.9640936410104411,0.9863013698630136,0.926023676821656,0.9996532408474008,0.9,0.8124348925365684,0.955829059846371,0.0875,0.0125,9.367506770274757e-17,1.0
owlv2,576188,425901,-1,the number 2,1,20,5,0,0.0294752376654195,20,20,1.0,0.8315665290169146,1.0,0.95,0.7512672372279723,0.9987349105020502,0.95,0.7512672372279723,0.9987349105020502,0.0,0.05,0.0,80,0.9125,0.8279916615801152,0.9640936410104411,0.9863013698630136,0.926023676821656,0.9996532408474008,0.9,0.8124348925365684,0.955829059846371,0.0875,0.0125,9.367506770274757e-17,0.95
owlv2,576188,425901,-1,the number 2,1,20,5,0,0.0294752376654195,40,40,0.925,0.796135251267101,0.9842578201489584,0.972972972972973,0.858396904388842,0.9993159689753052,0.9,0.7633626001239001,0.9720745847057808,0.0749999999999999,0.0249999999999999,6.938893903907227e-17,80,0.9125,0.8279916615801152,0.9640936410104411,0.9863013698630136,0.926023676821656,0.9996532408474008,0.9,0.8124348925365684,0.955829059846371,0.0875,0.0125,9.367506770274757e-17,0.9
owlv2,76590,1759890,-1,person in white with belly,1,19,5,1,0.6233155511277062,5,5,1.0,0.4781762498950185,1.0,0.6,0.1466327996346731,0.9472550494736832,0.6,0.1466327996346731,0.9472550494736832,0.0,0.4,0.0,80,0.975,0.9125928440694078,0.9969579138351904,0.3333333333333333,0.2305852396293039,0.4491666887959781,0.325,0.2244595851774532,0.4389370456044483,0.025,0.65,0.0,0.6
owlv2,76590,1759890,-1,person in white with belly,1,19,5,1,0.6233155511277062,10,10,1.0,0.6915028921812392,1.0,0.5,0.1870860284473985,0.8129139715526015,0.5,0.1870860284473985,0.8129139715526015,0.0,0.5,0.0,80,0.975,0.9125928440694078,0.9969579138351904,0.3333333333333333,0.2305852396293039,0.4491666887959781,0.325,0.2244595851774532,0.4389370456044483,0.025,0.65,0.0,0.5
owlv2,76590,1759890,-1,person in white with belly,1,19,5,1,0.6233155511277062,20,20,1.0,0.8315665290169146,1.0,0.5,0.2719578495607918,0.7280421504392082,0.5,0.2719578495607918,0.7280421504392082,0.0,0.5,0.0,80,0.975,0.9125928440694078,0.9969579138351904,0.3333333333333333,0.2305852396293039,0.4491666887959781,0.325,0.2244595851774532,0.4389370456044483,0.025,0.65,0.0,0.5
owlv2,76590,1759890,-1,person in white with belly,1,19,5,1,0.6233155511277062,40,40,1.0,0.9119026971211976,1.0,0.475,0.3151197066349862,0.6387198647359378,0.475,0.3151197066349862,0.6387198647359378,0.0,0.525,0.0,80,0.975,0.9125928440694078,0.9969579138351904,0.3333333333333333,0.2305852396293039,0.4491666887959781,0.325,0.2244595851774532,0.4389370456044483,0.025,0.65,0.0,0.475
owlv2,425325,2154546,-1,pink shirt purple pants,1,16,5,0,0.0,5,5,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,1.0,0.4781762498950185,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,425325,2154546,-1,pink shirt purple pants,1,16,5,0,0.0,10,10,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,1.0,0.6915028921812392,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,425325,2154546,-1,pink shirt purple pants,1,16,5,0,0.0,20,20,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,1.0,0.8315665290169146,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
owlv2,425325,2154546,-1,pink shirt purple pants,1,16,5,0,0.0,40,40,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,1.0,0.9119026971211976,1.0,0.0,0.0,0.0,80,0.975,0.9125928440694078,0.9969579138351904,1.0,0.9538075796719512,1.0,0.975,0.9125928440694078,0.9969579138351904,0.025,0.0,0.0,1.0
