model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
groundingdino,2,0.1,0.5,1000,1000,1.0,80000,0.8812750000000001,0.8812750000000001,0.0004211412929037692,0.002842703727100442,0.3970309538850284,0.5997052010949674
groundingdino,2,0.1,0.7,1000,1000,1.0,80000,0.8792125,0.8792125,0.0004139501190106592,0.0027941633033219497,0.4217116837421091,0.5750802028355583
groundingdino,2,0.1,0.85,1000,1000,1.0,80000,0.8792125,0.8792125,0.0004139501190106592,0.0027941633033219497,0.4217116837421091,0.5750802028355583
groundingdino,2,0.15,0.5,1000,1000,1.0,80000,0.8811,0.8811,0.00042052144659377626,0.004625735912531539,0.3961312026913373,0.5988225399495374
groundingdino,2,0.15,0.7,1000,1000,1.0,80000,0.8790374999999999,0.8790374999999999,0.0004133512452206262,0.004546863697426889,0.4207915676345975,0.574248217422755
groundingdino,2,0.15,0.85,1000,1000,1.0,80000,0.8790374999999999,0.8790374999999999,0.0004133512452206262,0.004546863697426889,0.4207915676345975,0.574248217422755
groundingdino,2,0.25,0.5,1000,1000,1.0,80000,0.881075,0.881075,0.0010510826150935463,0.004834980029430313,0.39541727979819213,0.598696657557284
groundingdino,2,0.25,0.7,1000,1000,1.0,80000,0.8790125000000001,0.8790125000000001,0.0010331645831180907,0.0047525570823432174,0.42008471949581566,0.574129558838723
groundingdino,2,0.25,0.85,1000,1000,1.0,80000,0.8790125000000001,0.8790125000000001,0.0010331645831180907,0.0047525570823432174,0.42008471949581566,0.574129558838723
groundingdino,3,0.1,0.5,1000,1000,1.0,80000,0.8789625000000001,0.8789625000000001,0.00041309511515026334,0.015077971702984612,0.2028297015387793,0.7816792316430858
groundingdino,3,0.1,0.7,1000,1000,1.0,80000,0.8780125,0.8780125,0.00040987806127677014,0.014960549236602111,0.21887488472179525,0.7657546879803259
groundingdino,3,0.1,0.85,1000,1000,1.0,80000,0.8780125,0.8780125,0.00040987806127677014,0.014960549236602111,0.21887488472179525,0.7657546879803259
