model,family,trials,operational_stability,family_risk,probe_weight,risk_contribution,risk_share
groundingdino,brightness,8000,0.949125,0.050875000000000004,0.2,0.010175000000000002,0.07817902420284288
groundingdino,jpeg,8000,0.83775,0.16225,0.2,0.03245,0.24932769880906644
groundingdino,gaussian_noise,8000,0.911875,0.08812500000000001,0.2,0.017625000000000002,0.13542066845946985
groundingdino,resolution,8000,0.86175,0.13824999999999998,0.2,0.027649999999999997,0.21244717633499804
groundingdino,blur,8000,0.78875,0.21125000000000005,0.2,0.04225000000000001,0.3246254321936228
yoloworld,brightness,6248,0.9039692701664532,0.09603072983354677,0.2,0.019206145966709356,0.06188757091284169
yoloworld,jpeg,6248,0.6877400768245838,0.3122599231754162,0.2,0.06245198463508324,0.20123775141825684
yoloworld,gaussian_noise,6248,0.7725672215108835,0.22743277848911647,0.2,0.0454865556978233,0.1465703971119133
yoloworld,resolution,6248,0.592989756722151,0.40701024327784896,0.2,0.0814020486555698,0.26230015471892726
yoloworld,blur,6248,0.4910371318822023,0.5089628681177977,0.2,0.10179257362355953,0.32800412583806077
