model,diagnostic_budget,family,trials,operational_stability,risk_share,reference_operational_stability,reference_risk_share,absolute_stability_error,absolute_risk_share_error
groundingdino,5,brightness,1000,0.954,0.06835066864784553,0.949625,0.07768674698795174,0.004374999999999907,0.009336078340106205
groundingdino,5,jpeg,1000,0.834,0.2466567607726598,0.8386875,0.24877108433734937,0.004687500000000067,0.002114323564689574
groundingdino,5,gaussian_noise,1000,0.914,0.12778603268945019,0.9105625,0.13792771084337344,0.0034374999999999822,0.01014167815392325
groundingdino,5,resolution,1000,0.848,0.22585438335809813,0.8614375,0.2136867469879519,0.013437499999999991,0.012167636370146229
groundingdino,5,blur,1000,0.777,0.3313521545319465,0.79125,0.32192771084337357,0.014249999999999985,0.009424443688572925
groundingdino,10,brightness,2000,0.9515,0.0746153846153846,0.949625,0.07768674698795174,0.00187499999999996,0.003071362372567138
groundingdino,10,jpeg,2000,0.8415,0.24384615384615382,0.8386875,0.24877108433734937,0.0028124999999999956,0.0049249304911955505
groundingdino,10,gaussian_noise,2000,0.916,0.12923076923076918,0.9105625,0.13792771084337344,0.005437499999999984,0.008696941612604259
groundingdino,10,resolution,2000,0.8535,0.22538461538461532,0.8614375,0.2136867469879519,0.00793749999999993,0.011697868396663424
groundingdino,10,blur,2000,0.7875,0.326923076923077,0.79125,0.32192771084337357,0.003750000000000031,0.004995366079703412
groundingdino,20,brightness,4000,0.949,0.07891682785299813,0.949625,0.07768674698795174,0.0006250000000000977,0.0012300808650463901
groundingdino,20,jpeg,4000,0.84175,0.24487427466150868,0.8386875,0.24877108433734937,0.003062499999999968,0.00389680967584069
groundingdino,20,gaussian_noise,4000,0.9115,0.13694390715667312,0.9105625,0.13792771084337344,0.0009374999999999245,0.000983803686700313
groundingdino,20,resolution,4000,0.85925,0.21779497098646036,0.8614375,0.2136867469879519,0.002187500000000009,0.0041082239985084645
groundingdino,20,blur,4000,0.79225,0.3214700193423597,0.79125,0.32192771084337357,0.0010000000000000009,0.00045769150101387934
groundingdino,40,brightness,8000,0.949125,0.07817902420284288,0.949625,0.07768674698795174,0.000500000000000056,0.0004922772148911458
groundingdino,40,jpeg,8000,0.83775,0.24932769880906644,0.8386875,0.24877108433734937,0.0009375000000000355,0.0005566144717170651
groundingdino,40,gaussian_noise,8000,0.911875,0.13542066845946985,0.9105625,0.13792771084337344,0.0013124999999999387,0.0025070423839035905
groundingdino,40,resolution,8000,0.86175,0.21244717633499804,0.8614375,0.2136867469879519,0.00031250000000004885,0.001239570652953853
groundingdino,40,blur,8000,0.78875,0.3246254321936228,0.79125,0.32192771084337357,0.0025000000000000577,0.002697721350249205
yoloworld,5,brightness,781,0.9090909090909091,0.0577705451586656,0.9062099871959027,0.059875344845202794,0.0028809218950063276,0.0021047996865371926
yoloworld,5,jpeg,781,0.6862996158770807,0.19934906427990237,0.685179257362356,0.20098089302135486,0.0011203585147246953,0.0016318287414524846
yoloworld,5,gaussian_noise,781,0.7631241997439181,0.15052888527257932,0.7714468629961587,0.14590783692653522,0.008322663252240625,0.004621048346044099
yoloworld,5,resolution,781,0.58898847631242,0.2611879576891782,0.5813060179257362,0.267293348319199,0.007682458386683799,0.006105390630020802
yoloworld,5,blur,781,0.4788732394366197,0.33116354759967453,0.4894366197183099,0.32594257688770817,0.010563380281690182,0.005220970711966366
yoloworld,10,brightness,1562,0.9052496798975672,0.06011372867587328,0.9062099871959027,0.059875344845202794,0.0009603072983355165,0.00023838383067048552
