model,family,operational_stability_diagnostic,risk_share_diagnostic,operational_stability_reference,risk_share_reference,absolute_stability_error,absolute_risk_share_error
groundingdino,brightness,0.949125,0.07817902420284288,0.949625,0.07768674698795174,0.000500000000000056,0.0004922772148911458
groundingdino,jpeg,0.83775,0.24932769880906644,0.8386875,0.24877108433734937,0.0009375000000000355,0.0005566144717170651
groundingdino,gaussian_noise,0.911875,0.13542066845946985,0.9105625,0.13792771084337344,0.0013124999999999387,0.0025070423839035905
groundingdino,resolution,0.86175,0.21244717633499804,0.8614375,0.2136867469879519,0.00031250000000004885,0.001239570652953853
groundingdino,blur,0.78875,0.3246254321936228,0.79125,0.32192771084337357,0.0025000000000000577,0.002697721350249205
yoloworld,brightness,0.9039692701664532,0.06188757091284169,0.9062099871959027,0.059875344845202794,0.0022407170294495016,0.0020122260676388934
yoloworld,jpeg,0.6877400768245838,0.20123775141825684,0.685179257362356,0.20098089302135486,0.002560819462227859,0.0002568583969019822
yoloworld,gaussian_noise,0.7725672215108835,0.1465703971119133,0.7714468629961587,0.14590783692653522,0.0011203585147248063,0.0006625601853780805
yoloworld,resolution,0.592989756722151,0.26230015471892726,0.5813060179257362,0.267293348319199,0.011683738796414822,0.004993193600271728
yoloworld,blur,0.4910371318822023,0.32800412583806077,0.4894366197183099,0.32594257688770817,0.0016005121638924535,0.0020615489503525986
