model,diagnostic_budget,sample_count,eligible_count,clean_eligibility,diagnostic_full_manifest_mean,reference_full_manifest_mean,diagnostic_eligible_mean,reference_eligible_mean,mae_all,rmse_all,bias_all,spearman_all,mae_eligible,spearman_eligible,reference_inside_diagnostic_cp_interval_eligible,mean_diagnostic_cp_width
groundingdino,5,1000,1000,1.0,0.8654000000000001,0.8703125,0.8654000000000001,0.8703125,0.05996249999999999,0.1032949357422715,-0.004912499999999995,0.825864299029465,0.05996249999999999,0.825864299029465,0.994,0.6038718526667864
groundingdino,10,1000,1000,1.0,0.87,0.8703125,0.87,0.8703125,0.0440625,0.07516544252513917,-0.0003124999999999991,0.8844024404846519,0.0440625,0.8844024404846519,0.994,0.40738284029322436
groundingdino,20,1000,1000,1.0,0.87075,0.8703125,0.87075,0.8703125,0.03353749999999999,0.05713881124069698,0.00043749999999999654,0.923349265479403,0.03353749999999999,0.923349265479403,0.988,0.2643872838129727
groundingdino,40,1000,1000,1.0,0.86985,0.8703125,0.86985,0.8703125,0.0256375,0.043687455293253234,-0.00046250000000000425,0.9548842578006447,0.0256375,0.9548842578006447,0.969,0.17226317949714764
owlv2,5,1000,998,0.998,0.767,0.7676875,0.7685370741482966,0.7692259519038076,0.0948875,0.13521915082561345,-0.0006874999999999902,0.8401463440409899,0.09507765531062125,0.8391476126785836,0.9949899799599199,0.6409526787738349
owlv2,10,1000,998,0.998,0.7694000000000001,0.7676875,0.7709418837675351,0.7692259519038076,0.0682875,0.09830675841466852,0.0017125000000000048,0.9025334408043498,0.06842434869739479,0.9019329846115912,0.9909819639278558,0.4569000173956715
owlv2,20,1000,998,0.998,0.76975,0.7676875,0.7712925851703407,0.7692259519038076,0.051387499999999996,0.0742746171312919,0.002062499999999997,0.9377252045036576,0.051490480961923844,0.9373441808407265,0.9779559118236473,0.31345225773364715
owlv2,40,1000,998,0.998,0.7681749999999999,0.7676875,0.7697144288577153,0.7692259519038076,0.039862499999999995,0.05734626186596647,0.00048749999999999694,0.9612231457755064,0.03994238476953908,0.9609874202336975,0.9498997995991983,0.21373355026620072
yoloworld,5,1000,781,0.781,0.5352,0.536325,0.6852752880921895,0.6867157490396928,0.07435,0.11710305290640376,-0.0011249999999999912,0.943932461166652,0.09519846350832266,0.8874750818574353,0.9948783610755442,0.6816375858353784
yoloworld,10,1000,781,0.781,0.5347999999999999,0.536325,0.6847631241997438,0.6867157490396928,0.0561,0.08763917503034815,-0.0015249999999999977,0.9675453524154974,0.07183098591549295,0.9333063464503838,0.9871959026888605,0.4996598146280341
yoloworld,20,1000,781,0.781,0.5389499999999999,0.536325,0.6900768245838669,0.6867157490396928,0.041375,0.06493746992299593,0.002625,0.9817727177339193,0.05297695262483995,0.962188513808608,0.9884763124199744,0.3503232269072616
yoloworld,40,1000,781,0.781,0.538625,0.536325,0.6896606914212549,0.6867157490396928,0.031874999999999994,0.050124844139408556,0.0023000000000000013,0.9881907599418636,0.040813060179257364,0.9754201916297569,0.9654289372599232,0.2428137375484412
