comparison,model_or_pair,diagnostic_budget,statistic,estimate,lower_95,upper_95,bootstrap_repetitions,sample_count
paired_cross_model,groundingdino-yoloworld,5,diagnostic_difference,0.32999980000000007,0.299795,0.3625999999999999,2000,1000
paired_cross_model,groundingdino-yoloworld,5,reference_difference,0.3340425,0.3098371875000001,0.3606949999999999,2000,1000
paired_cross_model,groundingdino-yoloworld,10,diagnostic_difference,0.33532025,0.30700000000000005,0.36520500000000006,2000,1000
paired_cross_model,groundingdino-yoloworld,10,reference_difference,0.3340425,0.3098371875000001,0.3606949999999999,2000,1000
paired_cross_model,groundingdino-yoloworld,20,diagnostic_difference,0.33195162500000003,0.30654875,0.3588525,2000,1000
paired_cross_model,groundingdino-yoloworld,20,reference_difference,0.3340425,0.3098371875000001,0.3606949999999999,2000,1000
paired_cross_model,groundingdino-yoloworld,40,diagnostic_difference,0.331356425,0.30704312500000003,0.35763624999999993,2000,1000
paired_cross_model,groundingdino-yoloworld,40,reference_difference,0.3340425,0.3098371875000001,0.3606949999999999,2000,1000
single_model,groundingdino,5,diagnostic_mean,0.8653577,0.8483949999999999,0.8817999999999999,2000,1000
single_model,groundingdino,5,reference_mean,0.8702461125,0.8581484374999999,0.8816881249999999,2000,1000
single_model,groundingdino,10,diagnostic_mean,0.8699919,0.8548,0.8837,2000,1000
single_model,groundingdino,10,reference_mean,0.8702461125,0.8581484374999999,0.8816881249999999,2000,1000
single_model,groundingdino,20,diagnostic_mean,0.8706536,0.8571975000000001,0.88290125,2000,1000
single_model,groundingdino,20,reference_mean,0.8702461125,0.8581484374999999,0.8816881249999999,2000,1000
single_model,groundingdino,40,diagnostic_mean,0.8698203375000001,0.8573462500000001,0.8816499999999999,2000,1000
single_model,groundingdino,40,reference_mean,0.8702461125,0.8581484374999999,0.8816881249999999,2000,1000
single_model,yoloworld,5,diagnostic_mean,0.5353578999999999,0.5068,0.5614,2000,1000
single_model,yoloworld,5,reference_mean,0.5362036125,0.5128237500000001,0.5584265624999999,2000,1000
single_model,yoloworld,10,diagnostic_mean,0.53467165,0.5093975,0.5602,2000,1000
single_model,yoloworld,10,reference_mean,0.5362036125,0.5128237500000001,0.5584265624999999,2000,1000
single_model,yoloworld,20,diagnostic_mean,0.5387019749999999,0.5140962499999999,0.56220375,2000,1000
single_model,yoloworld,20,reference_mean,0.5362036125,0.5128237500000001,0.5584265624999999,2000,1000
single_model,yoloworld,40,diagnostic_mean,0.5384639125,0.514495625,0.5607006250000001,2000,1000
single_model,yoloworld,40,reference_mean,0.5362036125,0.5128237500000001,0.5584265624999999,2000,1000
