model,family,trials,operational_stability,family_risk,probe_weight,risk_contribution,risk_share
groundingdino,blur,16000,0.79125,0.20875,0.2,0.04175,0.32192771084337357
groundingdino,brightness,16000,0.949625,0.05037499999999995,0.2,0.01007499999999999,0.07768674698795174
groundingdino,gaussian_noise,16000,0.9105625,0.08943749999999995,0.2,0.01788749999999999,0.13792771084337344
groundingdino,resolution,16000,0.8614375,0.13856250000000003,0.2,0.027712500000000008,0.2136867469879519
groundingdino,jpeg,16000,0.8386875,0.16131249999999997,0.2,0.03226249999999999,0.24877108433734937
yoloworld,blur,12496,0.4894366197183099,0.5105633802816901,0.2,0.10211267605633803,0.32594257688770817
yoloworld,brightness,12496,0.9062099871959027,0.09379001280409727,0.2,0.018758002560819456,0.059875344845202794
yoloworld,gaussian_noise,12496,0.7714468629961587,0.22855313700384128,0.2,0.045710627400768256,0.14590783692653522
yoloworld,resolution,12496,0.5813060179257362,0.4186939820742638,0.2,0.08373879641485277,0.267293348319199
yoloworld,jpeg,12496,0.685179257362356,0.31482074263764404,0.2,0.06296414852752881,0.20098089302135486
owlv2,blur,15968,0.6450400801603207,0.35495991983967934,0.2,0.07099198396793586,0.30762550881953865
owlv2,brightness,15968,0.8872119238476954,0.11278807615230457,0.2,0.022557615230460917,0.09774762550881952
owlv2,gaussian_noise,15968,0.7982214428857716,0.20177855711422843,0.2,0.04035571142284569,0.1748710990502035
owlv2,resolution,15968,0.7344063126252505,0.26559368737474953,0.2,0.05311873747494991,0.23017639077340574
owlv2,jpeg,15968,0.78125,0.21875,0.2,0.043750000000000004,0.18957937584803258
