model,diagnostic_budget,threshold,retained_samples,coverage,reference_risk
groundingdino,5,1.0,635,0.635,0.024881889763779527
groundingdino,5,0.8,813,0.813,0.059486469864698646
groundingdino,5,0.6,914,0.914,0.09016684901531728
groundingdino,5,0.4,972,0.972,0.11526491769547324
groundingdino,5,0.2,993,0.993,0.12528952668680765
groundingdino,5,0.0,1000,1.0,0.1296875
groundingdino,10,1.0,571,0.571,0.01468914185639229
groundingdino,10,0.9,687,0.687,0.030294759825327505
groundingdino,10,0.8,786,0.786,0.049491094147582695
groundingdino,10,0.7,861,0.861,0.0700348432055749
groundingdino,10,0.6,908,0.908,0.08550385462555064
groundingdino,10,0.5,938,0.938,0.09886727078891257
groundingdino,10,0.4,969,0.969,0.11237100103199173
groundingdino,10,0.3,990,0.99,0.1235858585858586
groundingdino,10,0.2,993,0.993,0.1252014098690836
groundingdino,10,0.1,997,0.997,0.12749498495486458
groundingdino,10,0.0,1000,1.0,0.1296875
groundingdino,20,1.0,514,0.514,0.00839007782101167
groundingdino,20,0.95,596,0.596,0.015645973154362416
groundingdino,20,0.9,669,0.669,0.023748131539611358
groundingdino,20,0.85,723,0.723,0.033402489626556016
groundingdino,20,0.8,777,0.777,0.04541505791505792
groundingdino,20,0.75,810,0.81,0.05339506172839506
groundingdino,20,0.7,848,0.848,0.06308962264150944
groundingdino,20,0.65,875,0.875,0.07192857142857143
groundingdino,20,0.6,896,0.896,0.0795619419642857
groundingdino,20,0.55,913,0.913,0.08673329682365827
groundingdino,20,0.5,930,0.93,0.0946505376344086
groundingdino,20,0.45,945,0.945,0.10170634920634922
groundingdino,20,0.4,973,0.973,0.11452980472764646
groundingdino,20,0.35,979,0.979,0.1174923391215526
groundingdino,20,0.3,986,0.986,0.12110801217038542
groundingdino,20,0.25,993,0.993,0.12506294058408862
groundingdino,20,0.2,994,0.994,0.12567907444668008
groundingdino,20,0.15,998,0.998,0.1281813627254509
groundingdino,20,0.0,1000,1.0,0.1296875
groundingdino,40,1.0,453,0.453,0.003118101545253861
groundingdino,40,0.975,526,0.526,0.008412547528517108
groundingdino,40,0.95,575,0.575,0.01226086956521739
groundingdino,40,0.925,615,0.615,0.016077235772357718
groundingdino,40,0.9,653,0.653,0.020846094946401224
groundingdino,40,0.875,682,0.682,0.024835043988269793
groundingdino,40,0.85,708,0.708,0.029166666666666664
groundingdino,40,0.825,737,0.737,0.03459972862957938
groundingdino,40,0.8,761,0.761,0.03963534822601839
groundingdino,40,0.775,784,0.784,0.045073341836734684
groundingdino,40,0.75,805,0.805,0.05015527950310559
groundingdino,40,0.725,828,0.828,0.05653683574879227
groundingdino,40,0.7,836,0.836,0.0590311004784689
groundingdino,40,0.675,851,0.851,0.06377790834312573
groundingdino,40,0.65,862,0.862,0.06724187935034803
groundingdino,40,0.625,871,0.871,0.06996268656716417
groundingdino,40,0.6,887,0.887,0.0757750845546787
groundingdino,40,0.575,901,0.901,0.08113207547169811
groundingdino,40,0.55,910,0.91,0.08473901098901099
groundingdino,40,0.525,917,0.917,0.08778625954198473
groundingdino,40,0.5,927,0.927,0.09194983818770226
groundingdino,40,0.475,938,0.938,0.09740138592750534
groundingdino,40,0.45,947,0.947,0.10154435058078141
groundingdino,40,0.425,960,0.96,0.10756510416666668
groundingdino,40,0.4,970,0.97,0.11235824742268041
groundingdino,40,0.375,977,0.977,0.11600562947799387
groundingdino,40,0.35,980,0.98,0.11752551020408163
groundingdino,40,0.325,983,0.983,0.11929043743641912
groundingdino,40,0.3,986,0.986,0.12090517241379312
groundingdino,40,0.275,988,0.988,0.12200151821862347
groundingdino,40,0.25,991,0.991,0.12377648839556006
groundingdino,40,0.225,995,0.995,0.12629396984924623
groundingdino,40,0.2,996,0.996,0.12699548192771085
groundingdino,40,0.175,999,0.999,0.12885385385385384
groundingdino,40,0.025,1000,1.0,0.1296875
yoloworld,5,1.0,244,0.244,0.06055327868852459
yoloworld,5,0.8,405,0.405,0.11848765432098765
yoloworld,5,0.6,565,0.565,0.20214601769911505
yoloworld,5,0.4,697,0.697,0.2698529411764706
yoloworld,5,0.2,765,0.765,0.30468954248366015
yoloworld,5,0.0,1000,1.0,0.463675
yoloworld,10,1.0,188,0.188,0.03257978723404255
yoloworld,10,0.9,281,0.281,0.06347864768683273
yoloworld,10,0.8,364,0.364,0.09618818681318682
yoloworld,10,0.7,437,0.437,0.13046338672768878
yoloworld,10,0.6,532,0.532,0.1793937969924812
yoloworld,10,0.5,606,0.606,0.21955445544554458
yoloworld,10,0.4,677,0.677,0.2556683899556869
yoloworld,10,0.3,722,0.722,0.2807998614958449
yoloworld,10,0.2,763,0.763,0.3028669724770642
yoloworld,10,0.1,778,0.778,0.3117609254498715
yoloworld,10,0.0,1000,1.0,0.463675
yoloworld,20,1.0,148,0.148,0.011402027027027023
yoloworld,20,0.95,213,0.213,0.03303990610328638
yoloworld,20,0.9,260,0.26,0.051586538461538455
yoloworld,20,0.85,306,0.306,0.06866830065359478
yoloworld,20,0.8,349,0.349,0.08667621776504297
yoloworld,20,0.75,391,0.391,0.10393222506393861
yoloworld,20,0.7,424,0.424,0.12081367924528302
yoloworld,20,0.65,464,0.464,0.14148706896551724
yoloworld,20,0.6,509,0.509,0.16269646365422397
yoloworld,20,0.55,554,0.554,0.18745487364620939
yoloworld,20,0.5,599,0.599,0.21179048414023371
yoloworld,20,0.45,635,0.635,0.23116141732283463
yoloworld,20,0.4,668,0.668,0.2495696107784431
yoloworld,20,0.35,696,0.696,0.26479885057471264
yoloworld,20,0.3,719,0.719,0.27739916550764954
yoloworld,20,0.25,747,0.747,0.2927710843373494
yoloworld,20,0.2,763,0.763,0.30214613368283094
yoloworld,20,0.15,774,0.774,0.3085432816537468
yoloworld,20,0.1,780,0.78,0.31254807692307696
yoloworld,20,0.0,1000,1.0,0.463675
yoloworld,40,1.0,127,0.127,0.006496062992125981
yoloworld,40,0.975,158,0.158,0.011629746835443034
yoloworld,40,0.95,183,0.183,0.020560109289617483
yoloworld,40,0.925,213,0.213,0.031161971830985912
yoloworld,40,0.9,246,0.246,0.043038617886178854
yoloworld,40,0.875,271,0.271,0.05106088560885609
yoloworld,40,0.85,292,0.292,0.0591181506849315
yoloworld,40,0.825,311,0.311,0.06784565916398713
yoloworld,40,0.8,342,0.342,0.08022660818713451
yoloworld,40,0.775,365,0.365,0.09130136986301371
yoloworld,40,0.75,384,0.384,0.09970703124999998
yoloworld,40,0.725,397,0.397,0.1052896725440806
yoloworld,40,0.7,415,0.415,0.11457831325301204
yoloworld,40,0.675,433,0.433,0.12289260969976905
yoloworld,40,0.65,453,0.453,0.1336092715231788
yoloworld,40,0.625,476,0.476,0.14461659663865545
