model,diagnostic_budget,tie_aware_aurc,overall_reference_risk,distinct_diagnostic_scores
groundingdino,5,0.040242039104406054,0.1296875,6
groundingdino,10,0.03286500265916466,0.1296875,11
groundingdino,20,0.028402957123414577,0.1296875,19
groundingdino,40,0.025235582195635597,0.1296875,35
owlv2,5,0.09258209526068768,0.2323125,6
owlv2,10,0.07941982575184217,0.2323125,11
owlv2,20,0.07327306483514945,0.2323125,21
owlv2,40,0.06870542862639238,0.2323125,40
yoloworld,5,0.19580769834093714,0.463675,6
yoloworld,10,0.18655918858196407,0.463675,11
yoloworld,20,0.18057896492529218,0.463675,20
yoloworld,40,0.17860342398133236,0.463675,41
