model,dimension,level,sample_count,eligible_count,clean_eligibility,full_manifest_operational,eligible_operational,coverage,conditional_ranking,conditional_minus_operational
groundingdino,source_split,coco,600,600,1.0,0.8530208333333333,0.8530208333333333,0.9783541666666665,0.8718936990268522,0.01887286569351887
groundingdino,source_split,objects365,400,400,1.0,0.89625,0.89625,0.9765312500000001,0.9177893692598162,0.021539369259816254
groundingdino,query_length_stratum,long_ge30,218,218,1.0,0.872821100917431,0.872821100917431,0.9814793577981653,0.8892913477829055,0.01647024686547449
groundingdino,query_length_stratum,medium_19_29,504,504,1.0,0.8635416666666668,0.8635416666666668,0.9755456349206348,0.8851883866375148,0.021646719970847994
groundingdino,query_length_stratum,short_le18,278,278,1.0,0.8806205035971223,0.8806205035971223,0.9783723021582734,0.9000873201893469,0.0194668165922246
groundingdino,target_scale_stratum,large_gt96,894,894,1.0,0.8657718120805369,0.8657718120805369,0.9779362416107382,0.8853049669726345,0.019533154892097615
groundingdino,target_scale_stratum,medium_32_96,105,105,1.0,0.9078571428571427,0.9078571428571427,0.9747619047619047,0.931362970200293,0.02350582734315032
groundingdino,target_scale_stratum,small_lt32,1,1,1.0,0.9875,0.9875,1.0,0.9875,0.0
yoloworld,source_split,coco,600,473,0.7883333333333333,0.5287916666666667,0.6707716701902748,0.7693181818181819,0.8719040912369893,0.20113242104671447
yoloworld,source_split,objects365,400,308,0.77,0.547625,0.7112012987012987,0.7928165584415584,0.8970565651394932,0.1858552664381945
yoloworld,query_length_stratum,long_ge30,218,159,0.7293577981651376,0.4932912844036697,0.6763364779874214,0.7674528301886793,0.8812743290309363,0.20493785104351492
yoloworld,query_length_stratum,medium_19_29,504,400,0.7936507936507936,0.5351686507936508,0.6743125000000001,0.769375,0.8764419171405362,0.20212941714053612
yoloworld,query_length_stratum,short_le18,278,222,0.7985611510791367,0.5721672661870504,0.7164977477477478,0.8031531531531532,0.892106001121705,0.17560825337395725
yoloworld,target_scale_stratum,large_gt96,894,702,0.785234899328859,0.5385067114093959,0.6857905982905983,0.7780804843304845,0.8813877382886696,0.19559713999807127
yoloworld,target_scale_stratum,medium_32_96,105,78,0.7428571428571429,0.5133333333333332,0.691025641025641,0.7802884615384615,0.8856027931813514,0.19457715215571036
yoloworld,target_scale_stratum,small_lt32,1,1,1.0,1.0,1.0,1.0,1.0,0.0
owlv2,source_split,coco,600,600,1.0,0.78175,0.78175,0.9109999999999998,0.8581229418221735,0.07637294182217358
owlv2,source_split,objects365,400,398,0.995,0.7465937500000002,0.7503454773869347,0.8670226130653266,0.8654278055495183,0.11508232816258357
owlv2,query_length_stratum,long_ge30,218,218,1.0,0.7728784403669725,0.7728784403669725,0.8869266055045872,0.8714119472459271,0.09853350687895457
owlv2,query_length_stratum,medium_19_29,504,502,0.996031746031746,0.7686755952380953,0.7717380478087649,0.9019173306772909,0.8556638414179618,0.08392579360919694
owlv2,query_length_stratum,short_le18,278,278,1.0,0.7618255395683452,0.7618255395683452,0.883318345323741,0.8624586408755407,0.1006331013071955
owlv2,target_scale_stratum,large_gt96,894,893,0.9988814317673378,0.7730425055928412,0.7739081746920493,0.8987262038073908,0.8611167354567402,0.08720856076469086
owlv2,target_scale_stratum,medium_32_96,105,104,0.9904761904761905,0.7220238095238094,0.7289663461538461,0.8490384615384615,0.8585787089467724,0.1296123627929262
owlv2,target_scale_stratum,small_lt32,1,1,1.0,0.775,0.775,0.8125,0.9538461538461539,0.17884615384615388
