model,scope,diagnostic_budget,sample_count,eligible_count,full_manifest_bias,eligible_mae,eligible_spearman
groundingdino,pooled,5,1000,1000,-0.004912499999999995,0.05996249999999999,0.825864299029465
groundingdino,pooled,10,1000,1000,-0.0003124999999999991,0.0440625,0.8844024404846519
groundingdino,pooled,20,1000,1000,0.00043749999999999654,0.03353749999999999,0.923349265479403
groundingdino,pooled,40,1000,1000,-0.00046250000000000425,0.0256375,0.9548842578006447
groundingdino,coco,5,600,600,-0.007020833333333328,0.0655625,0.8408988647808167
groundingdino,coco,10,600,600,0.00031250000000000017,0.04897916666666666,0.8948825624378932
groundingdino,coco,20,600,600,0.0012291666666666638,0.03697916666666667,0.929565338692751
groundingdino,coco,40,600,600,-0.0007708333333333372,0.028479166666666663,0.9589096441599096
groundingdino,objects365,5,400,400,-0.0017499999999999948,0.05156249999999999,0.797584526793414
groundingdino,objects365,10,400,400,-0.0012499999999999983,0.0366875,0.8649664870615592
groundingdino,objects365,20,400,400,-0.0007500000000000042,0.028374999999999997,0.9129621673198272
groundingdino,objects365,40,400,400,-4.579669976578771e-18,0.021375,0.9470649088769169
yoloworld,pooled,5,1000,781,-0.0011249999999999912,0.09519846350832266,0.8874750818574353
yoloworld,pooled,10,1000,781,-0.0015249999999999977,0.07183098591549295,0.9333063464503838
yoloworld,pooled,20,1000,781,0.002625,0.05297695262483995,0.962188513808608
yoloworld,pooled,40,1000,781,0.0023000000000000013,0.040813060179257364,0.9754201916297569
yoloworld,coco,5,600,473,0.0022083333333333412,0.09725158562367865,0.8860675796223947
yoloworld,coco,10,600,473,0.0028750000000000026,0.07235729386892176,0.9309728438412199
yoloworld,coco,20,600,473,0.0055416666666666696,0.054228329809725154,0.9602385435560186
yoloworld,coco,40,600,473,0.004541666666666669,0.04339323467230444,0.972709083202872
yoloworld,objects365,5,400,308,-0.006124999999999996,0.09204545454545456,0.8864953073955193
yoloworld,objects365,10,400,308,-0.008124999999999999,0.07102272727272728,0.9362738226464417
yoloworld,objects365,20,400,308,-0.0017500000000000037,0.051055194805194805,0.9649264607186284
yoloworld,objects365,40,400,308,-0.0010625000000000016,0.03685064935064934,0.9771820135386963
