dataset,model,duplicate_iou_threshold,clean_eligibility,mean_retained_clean_candidates,scope
RefCOCO,groundingdino,0.5,0.996,4.81,clean_eligibility_only
RefCOCO,groundingdino,0.6,0.998,4.882,clean_eligibility_only
RefCOCO,groundingdino,0.7,0.998,4.906,clean_eligibility_only
RefCOCO,groundingdino,0.8,0.998,4.916,clean_eligibility_only
RefCOCO,groundingdino,0.85,0.998,4.918,clean_eligibility_only
RefCOCO,owlv2,0.5,0.976,4.684,clean_eligibility_only
RefCOCO,owlv2,0.6,0.976,4.732,clean_eligibility_only
RefCOCO,owlv2,0.7,0.976,4.756,clean_eligibility_only
RefCOCO,owlv2,0.8,0.976,4.762,clean_eligibility_only
RefCOCO,owlv2,0.85,0.976,4.766,clean_eligibility_only
RefCOCO,yoloworld,0.5,0.71,2.606,clean_eligibility_only
RefCOCO,yoloworld,0.6,0.72,2.672,clean_eligibility_only
RefCOCO,yoloworld,0.7,0.728,2.778,clean_eligibility_only
RefCOCO,yoloworld,0.8,0.728,2.778,clean_eligibility_only
RefCOCO,yoloworld,0.85,0.728,2.778,clean_eligibility_only
RefCOCO+,groundingdino,0.5,1.0,4.832,clean_eligibility_only
RefCOCO+,groundingdino,0.6,1.0,4.937,clean_eligibility_only
RefCOCO+,groundingdino,0.7,1.0,4.968,clean_eligibility_only
RefCOCO+,groundingdino,0.8,1.0,4.979,clean_eligibility_only
RefCOCO+,groundingdino,0.85,1.0,4.982,clean_eligibility_only
RefCOCO+,owlv2,0.5,0.964,4.613,clean_eligibility_only
RefCOCO+,owlv2,0.6,0.965,4.649,clean_eligibility_only
RefCOCO+,owlv2,0.7,0.968,4.681,clean_eligibility_only
RefCOCO+,owlv2,0.8,0.969,4.696,clean_eligibility_only
RefCOCO+,owlv2,0.85,0.969,4.708,clean_eligibility_only
RefCOCO+,yoloworld,0.5,0.732,2.671,clean_eligibility_only
RefCOCO+,yoloworld,0.6,0.743,2.776,clean_eligibility_only
RefCOCO+,yoloworld,0.7,0.757,2.882,clean_eligibility_only
RefCOCO+,yoloworld,0.8,0.757,2.882,clean_eligibility_only
RefCOCO+,yoloworld,0.85,0.757,2.882,clean_eligibility_only
Ref-L4,groundingdino,0.5,1.0,4.99,clean_eligibility_only
Ref-L4,groundingdino,0.6,1.0,4.995,clean_eligibility_only
Ref-L4,groundingdino,0.7,1.0,5.0,clean_eligibility_only
Ref-L4,groundingdino,0.8,1.0,5.0,clean_eligibility_only
Ref-L4,groundingdino,0.85,1.0,5.0,clean_eligibility_only
Ref-L4,owlv2,0.5,0.998,4.959,clean_eligibility_only
Ref-L4,owlv2,0.6,0.998,4.972,clean_eligibility_only
Ref-L4,owlv2,0.7,0.998,4.978,clean_eligibility_only
Ref-L4,owlv2,0.8,0.998,4.979,clean_eligibility_only
Ref-L4,owlv2,0.85,0.998,4.981,clean_eligibility_only
Ref-L4,yoloworld,0.5,0.768,3.283,clean_eligibility_only
Ref-L4,yoloworld,0.6,0.777,3.375,clean_eligibility_only
Ref-L4,yoloworld,0.7,0.781,3.467,clean_eligibility_only
Ref-L4,yoloworld,0.8,0.781,3.468,clean_eligibility_only
Ref-L4,yoloworld,0.85,0.781,3.468,clean_eligibility_only
