dataset,model,parameter,tested_values,minimum,maximum,range_width,default
RefCOCO,groundingdino,tracked_candidate_count,2;3;4;5,0.8553749918937683,0.8969500064849854,0.04157501459121704,0.8553749918937683
RefCOCO,groundingdino,exposed_candidate_count,10;15;20,0.8406750559806824,0.8553749918937683,0.014699935913085938,0.8553749918937683
RefCOCO,groundingdino,match_iou_threshold,0.1;0.15;0.25,0.8505250215530396,0.8587249517440796,0.008199930191040039,0.8553749918937683
RefCOCO,groundingdino,birth_duplicate_iou_threshold,0.5;0.7;0.85,0.8553749918937683,0.8560999631881714,0.0007249712944030762,0.8553749918937683
RefCOCO,yoloworld,tracked_candidate_count,2;3;4;5,0.511775016784668,0.5815250277519226,0.06975001096725464,0.511775016784668
RefCOCO,yoloworld,exposed_candidate_count,10;15;20,0.5105499625205994,0.511775016784668,0.0012250542640686035,0.511775016784668
RefCOCO,yoloworld,match_iou_threshold,0.1;0.15;0.25,0.5090000033378601,0.5133000016212463,0.0042999982833862305,0.511775016784668
RefCOCO,yoloworld,birth_duplicate_iou_threshold,0.5;0.7;0.85,0.511775016784668,0.5119999647140503,0.00022494792938232422,0.511775016784668
RefCOCO+,groundingdino,tracked_candidate_count,2;3;4;5,0.8511624932289124,0.8969874978065491,0.04582500457763672,0.8511624932289124
RefCOCO+,groundingdino,exposed_candidate_count,10;15;20,0.8339874744415283,0.8511624932289124,0.017175018787384033,0.8511624932289124
RefCOCO+,groundingdino,match_iou_threshold,0.1;0.15;0.25,0.8424500226974487,0.8558250665664673,0.013375043869018555,0.8511624932289124
RefCOCO+,groundingdino,birth_duplicate_iou_threshold,0.5;0.7;0.85,0.8511624932289124,0.8521875143051147,0.0010250210762023926,0.8511624932289124
RefCOCO+,yoloworld,tracked_candidate_count,2;3;4;5,0.5017750263214111,0.5947374701499939,0.09296244382858276,0.5017750263214111
RefCOCO+,yoloworld,exposed_candidate_count,10;15;20,0.49978750944137573,0.5017750263214111,0.0019875168800354004,0.5017750263214111
RefCOCO+,yoloworld,match_iou_threshold,0.1;0.15;0.25,0.49931249022483826,0.5037875175476074,0.004475027322769165,0.5017750263214111
RefCOCO+,yoloworld,birth_duplicate_iou_threshold,0.5;0.7;0.85,0.5017750263214111,0.5023375153541565,0.0005624890327453613,0.5017750263214111
Ref-L4,groundingdino,tracked_candidate_count,2;3;4;5,0.870312511920929,0.8790374994277954,0.008724987506866455,0.870312511920929
Ref-L4,groundingdino,exposed_candidate_count,10;15;20,0.8574250340461731,0.870312511920929,0.01288747787475586,0.870312511920929
Ref-L4,groundingdino,match_iou_threshold,0.1;0.15;0.25,0.867562472820282,0.8715624809265137,0.0040000081062316895,0.870312511920929
Ref-L4,groundingdino,birth_duplicate_iou_threshold,0.5;0.7;0.85,0.870312511920929,0.8711125254631042,0.000800013542175293,0.870312511920929
Ref-L4,yoloworld,tracked_candidate_count,2;3;4;5,0.5363250374794006,0.6301750540733337,0.0938500165939331,0.5363250374794006
Ref-L4,yoloworld,exposed_candidate_count,10;15;20,0.5266750454902649,0.5363250374794006,0.009649991989135742,0.5363250374794006
Ref-L4,yoloworld,match_iou_threshold,0.1;0.15;0.25,0.5304999947547913,0.5383374691009521,0.007837474346160889,0.5363250374794006
Ref-L4,yoloworld,birth_duplicate_iou_threshold,0.5;0.7;0.85,0.5363250374794006,0.5378749966621399,0.0015499591827392578,0.5363250374794006
