dataset,model,scope,metric,mean,median,lower_2_5,upper_97_5,p95,repetitions
refcoco,groundingdino,full_manifest,absolute_model_mean_difference,0.00182625,0.0015499999999999997,5.000000000000004e-05,0.005049999999999998,0.004449999999999999,2000
refcoco,groundingdino,full_manifest,sample_mae,0.030022200000000002,0.03005,0.02725,0.032650000000000005,0.03225,2000
refcoco,groundingdino,full_manifest,sample_rmse,0.050995361977346616,0.051002450921499846,0.04643409231659204,0.05564395744373327,0.05487485763079482,2000
refcoco,groundingdino,full_manifest,sample_spearman,0.9473798137064968,0.9475673563359182,0.9384804508984438,0.9552112483824792,0.9539342548388734,2000
refcoco,groundingdino,clean_eligible,absolute_model_mean_difference,0.0018299098196392785,0.0015531062124248495,5.010020040080165e-05,0.00506012024048096,0.004458917835671342,2000
refcoco,groundingdino,clean_eligible,sample_mae,0.030082364729458917,0.030110220440881765,0.027304609218436873,0.03271543086172345,0.03231462925851703,2000
refcoco,groundingdino,clean_eligible,sample_rmse,0.051046433960078845,0.05105353000382739,0.04648059617633585,0.055699685006466944,0.05492981493813971,2000
refcoco,groundingdino,clean_eligible,sample_spearman,0.9470362290636538,0.9472250997534415,0.9380773436554076,0.9549196836566487,0.9536344256815813,2000
refcoco,owlv2,full_manifest,absolute_model_mean_difference,0.0024135999999999997,0.0020499999999999997,5.000000000000093e-05,0.006550000000000001,0.00585,2000
refcoco,owlv2,full_manifest,sample_mae,0.04665505,0.046650000000000004,0.0431475,0.050052499999999986,0.04955,2000
refcoco,owlv2,full_manifest,sample_rmse,0.06791990016634111,0.06792459053980376,0.06303768714031313,0.07327260723924861,0.07220630166405145,2000
refcoco,owlv2,full_manifest,sample_spearman,0.9569973764000872,0.9570555026039301,0.9507790230549193,0.9627196249185471,0.961966251905489,2000
refcoco,owlv2,clean_eligible,absolute_model_mean_difference,0.002472950819672131,0.0021004098360655737,5.12295081967225e-05,0.0067110655737704925,0.005993852459016394,2000
refcoco,owlv2,clean_eligible,sample_mae,0.04780230532786885,0.047797131147540986,0.044208504098360656,0.05128329918032786,0.05076844262295082,2000
refcoco,owlv2,clean_eligible,sample_rmse,0.06874990937852254,0.06875465707028476,0.06380803369431176,0.07416802874104975,0.07308869247163419,2000
refcoco,owlv2,clean_eligible,sample_spearman,0.9537194507054593,0.9537827966322201,0.9470246923382242,0.9598779251208721,0.9590675459548029,2000
refcoco,yoloworld,full_manifest,absolute_model_mean_difference,0.0020540000000000003,0.001749999999999999,5.000000000000126e-05,0.005649999999999999,0.005049999999999999,2000
refcoco,yoloworld,full_manifest,sample_mae,0.03413375,0.03415,0.03135,0.03725,0.03665,2000
refcoco,yoloworld,full_manifest,sample_rmse,0.056522491735419324,0.05655749287229765,0.05180371553452325,0.06139014578904337,0.060613529176621495,2000
refcoco,yoloworld,full_manifest,sample_spearman,0.9862252728716462,0.9862508597247778,0.9839488747026411,0.9883290028982771,0.9879726730700299,2000
refcoco,yoloworld,clean_eligible,absolute_model_mean_difference,0.002821428571428571,0.0024038461538461522,6.868131868132027e-05,0.0077609890109890094,0.006936813186813186,2000
refcoco,yoloworld,clean_eligible,sample_mae,0.046887019230769225,0.04690934065934066,0.04306318681318681,0.051167582417582416,0.05034340659340659,2000
refcoco,yoloworld,clean_eligible,sample_rmse,0.06624538209056481,0.06628640405571389,0.06071489108016341,0.07195036063567989,0.07104015192675406,2000
refcoco,yoloworld,clean_eligible,sample_spearman,0.9648861442221109,0.9649501476823292,0.9590785366871319,0.970248378567913,0.9693412074292578,2000
refcocoplus,groundingdino,full_manifest,absolute_model_mean_difference,0.0013156749999999999,0.001124999999999999,7.499999999999929e-05,0.003674999999999999,0.0031750000000000007,2000
refcocoplus,groundingdino,full_manifest,sample_mae,0.0319959,0.031975,0.030123749999999998,0.03402625,0.03372499999999999,2000
refcocoplus,groundingdino,full_manifest,sample_rmse,0.05239134425001274,0.052362916267144635,0.04921254921257382,0.05582897992978199,0.055266400280821616,2000
refcocoplus,groundingdino,full_manifest,sample_spearman,0.9504040866723491,0.9504783283500962,0.9445222945678637,0.9559630887324889,0.9550217035592576,2000
refcocoplus,groundingdino,clean_eligible,absolute_model_mean_difference,0.0013156749999999999,0.001124999999999999,7.499999999999929e-05,0.003674999999999999,0.0031750000000000007,2000
refcocoplus,groundingdino,clean_eligible,sample_mae,0.0319959,0.031975,0.030123749999999998,0.03402625,0.03372499999999999,2000
