dataset,model,scope,diagnostic_probe_count,reference_probe_count,predicted_rmse_under_common_Q,observed_to_predicted_rmse_ratio,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,full_manifest,40,80,0.05703544450935527,0.7585030593015886,0.8566,0.855375,0.0012249999999999965,0.0012249999999999965,0.025275,0.043261559148971965,0.9554075805076877
refcoco,groundingdino,clean_eligible,40,80,0.05709256564986998,0.7585030593015886,0.8583166332665331,0.8570891783567134,0.0012274549098196359,0.0012274549098196359,0.02532565130260521,0.04330488570880317,0.9551193890992108
refcoco,yoloworld,full_manifest,40,80,0.06430122816119435,0.8024168721673135,0.5098499999999999,0.511775,-0.001925000000000001,0.001925000000000001,0.032175,0.05159639037762235,0.9880245013755989
refcoco,yoloworld,clean_eligible,40,80,0.07536220180048481,0.8024168721673136,0.7003434065934065,0.7029876373626374,-0.0026442307692307715,0.0026442307692307715,0.04419642857142857,0.06047190224838691,0.9695036599704425
refcocoplus,groundingdino,full_manifest,40,80,0.058519967786618214,0.7448260608595716,0.85205,0.8511625,0.0008874999999999974,0.0008874999999999974,0.0275625,0.04358719708813587,0.958689469977793
refcocoplus,groundingdino,clean_eligible,40,80,0.058519967786618214,0.7448260608595716,0.85205,0.8511625,0.0008874999999999974,0.0008874999999999974,0.0275625,0.04358719708813587,0.958689469977793
refcocoplus,yoloworld,full_manifest,40,80,0.06727414746930294,0.7181382146611568,0.50275,0.501775,0.0009750000000000005,0.0009750000000000005,0.031,0.04831213615645659,0.989652229982236
refcocoplus,yoloworld,clean_eligible,40,80,0.07732149868020279,0.7181382146611568,0.6641347424042272,0.6628467635402906,0.0012879788639365921,0.0012879788639365921,0.04095112285336856,0.05552752301712582,0.9764378520196526
refl4,groundingdino,full_manifest,40,80,0.054233201184878364,0.8055481575635709,0.86985,0.8703125,-0.00046250000000000425,0.00046250000000000425,0.0256375,0.043687455293253234,0.9548842578006447
refl4,groundingdino,clean_eligible,40,80,0.054233201184878364,0.8055481575635709,0.86985,0.8703125,-0.00046250000000000425,0.00046250000000000425,0.0256375,0.043687455293253234,0.9548842578006447
refl4,yoloworld,full_manifest,40,80,0.06749173648433476,0.7426812044025988,0.538625,0.536325,0.0023000000000000013,0.0023000000000000013,0.031874999999999994,0.050124844139408556,0.9881907599418636
refl4,yoloworld,clean_eligible,40,80,0.07637040350966495,0.7426812044025987,0.6896606914212549,0.6867157490396928,0.002944942381562102,0.002944942381562102,0.040813060179257364,0.05671886325927042,0.9754201916297569
