dataset,model,image_id,ref_id,clean_eligible,clean_correct,reference_successes,reference_trials,reference_mean,lower_95,upper_95,interval_width
refcoco,groundingdino,346712,20202,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,125350,39201,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,23967,47975,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,65842,44225,1,0,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refcoco,groundingdino,448531,11612,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,53643,45379,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,119534,39732,1,0,78,80,0.975,0.9125928440694077,0.9969579138351904,0.08436506976578273
refcoco,groundingdino,279882,26241,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,84313,42654,1,0,49,80,0.6125,0.4969755425018991,0.7194348668752178,0.22245932437331872
refcoco,groundingdino,243153,29382,1,0,37,80,0.4625,0.3502764265383982,0.5775824719951649,0.2273060454567667
refcoco,groundingdino,83353,42756,1,0,55,80,0.6875,0.5741109261435505,0.7865253688912328,0.21241444274768229
refcoco,groundingdino,457555,10797,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refcoco,groundingdino,467145,9958,1,1,78,80,0.975,0.9125928440694077,0.9969579138351904,0.08436506976578273
refcoco,groundingdino,389498,16696,1,1,48,80,0.6,0.4843769404954894,0.7079906437446896,0.22361370324920016
refcoco,groundingdino,339454,20822,1,1,76,80,0.95,0.876901263556847,0.9862106060235382,0.1093093424666911
refcoco,groundingdino,218447,31468,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refcoco,groundingdino,55618,45176,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,226348,30735,1,0,39,80,0.4875,0.37405748144443896,0.6018953312968145,0.22783784985237554
refcoco,groundingdino,226594,30712,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,15750,48658,1,1,73,80,0.9125,0.8279916615801152,0.9640936410104413,0.1361019794303261
refcoco,groundingdino,34810,47052,1,0,39,80,0.4875,0.37405748144443896,0.6018953312968145,0.22783784985237554
refcoco,groundingdino,550760,2766,1,1,20,80,0.25,0.1598796445068557,0.35936347590685,0.19948383139999432
refcoco,groundingdino,52109,45518,1,0,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refcoco,groundingdino,369805,18360,1,1,68,80,0.85,0.7526358884071023,0.9200184386902862,0.16738255028318394
refcoco,groundingdino,446670,11759,1,0,43,80,0.5375,0.4224175280048351,0.6497235734616016,0.22730604545676647
refcoco,groundingdino,156258,36577,1,0,57,80,0.7125,0.6004548866879794,0.8082395280280349,0.20778464134005548
refcoco,groundingdino,291493,25281,1,1,59,80,0.7375,0.6271491697875681,0.8295907488995917,0.20244157911202365
refcoco,groundingdino,520831,5305,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,83093,42773,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,458633,10693,1,0,72,80,0.9,0.8124348925365683,0.955829059846371,0.1433941673098027
refcoco,groundingdino,77417,43254,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,184835,34252,1,0,78,80,0.975,0.9125928440694077,0.9969579138351904,0.08436506976578273
refcoco,groundingdino,35995,46945,1,1,42,80,0.525,0.4102278413767706,0.6378664183228473,0.2276385769460767
refcoco,groundingdino,103430,40996,1,0,52,80,0.65,0.5352031145206643,0.7533280635274648,0.21812494900680057
refcoco,groundingdino,340971,20658,1,0,75,80,0.9375,0.860142924702361,0.9793969276979898,0.11925400299562883
refcoco,groundingdino,97939,41436,1,0,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refcoco,groundingdino,199640,33072,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,124030,39320,1,0,39,80,0.4875,0.37405748144443896,0.6018953312968145,0.22783784985237554
refcoco,groundingdino,298481,24663,1,0,42,80,0.525,0.4102278413767706,0.6378664183228473,0.2276385769460767
refcoco,groundingdino,481804,8752,1,0,51,80,0.6375,0.5223872787351916,0.7421051046283819,0.21971782589319022
refcoco,groundingdino,24026,47963,1,0,52,80,0.65,0.5352031145206643,0.7533280635274648,0.21812494900680057
refcoco,groundingdino,391088,16582,1,1,58,80,0.725,0.6137565791555909,0.8189623614429612,0.2052057822873703
refcoco,groundingdino,152556,36857,1,1,56,80,0.7,0.5872406769186242,0.7974260708533272,0.21018539393470292
refcoco,groundingdino,498639,7265,1,1,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refcoco,groundingdino,472954,9478,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,410845,14864,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,223909,30957,1,0,17,80,0.2125,0.1289364950975817,0.3182858085596558,0.18934931346207412
refcoco,groundingdino,29915,47432,1,1,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refcoco,groundingdino,261381,27789,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,31812,47281,1,0,29,80,0.3625,0.2578948953716181,0.47761272126480847,0.2197178258931904
refcoco,groundingdino,235316,30050,1,0,57,80,0.7125,0.6004548866879794,0.8082395280280349,0.20778464134005548
refcoco,groundingdino,566798,1350,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,197289,33252,1,0,43,80,0.5375,0.4224175280048351,0.6497235734616016,0.22730604545676647
refcoco,groundingdino,426478,13513,1,0,31,80,0.3875,0.28056513312478215,0.5030244574981009,0.22245932437331872
refcoco,groundingdino,521618,5230,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,453602,11189,1,0,60,80,0.75,0.64063652409315,0.8401203554931442,0.19948383139999426
refcoco,groundingdino,17578,48497,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,95812,41649,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,163506,36006,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,530132,4519,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,492293,7822,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,372003,18201,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,348609,20035,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,260010,27940,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,380034,17534,1,1,26,80,0.325,0.22445958517745324,0.4389370456044483,0.21447746042699506
refcoco,groundingdino,115604,40058,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,161865,36122,1,1,54,80,0.675,0.5610629543955516,0.7755404148225468,0.21447746042699511
refcoco,groundingdino,506030,6611,1,1,70,80,0.875,0.7821108659305637,0.9383979034415657,0.15628703751100204
refcoco,groundingdino,292498,25206,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,206628,32456,1,1,52,80,0.65,0.5352031145206643,0.7533280635274648,0.21812494900680057
refcoco,groundingdino,177917,34869,1,0,46,80,0.575,0.45938881143093807,0.6848902345476577,0.22550142311671967
refcoco,groundingdino,420620,14062,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refcoco,groundingdino,75881,43371,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,555022,2369,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refcoco,groundingdino,22928,48064,1,0,59,80,0.7375,0.6271491697875681,0.8295907488995917,0.20244157911202365
refcoco,groundingdino,349144,19982,1,1,58,80,0.725,0.6137565791555909,0.8189623614429612,0.2052057822873703
refcoco,groundingdino,233153,30199,1,1,65,80,0.8125,0.7096721043523089,0.8910863118524706,0.18141420750016168
refcoco,groundingdino,128599,38888,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
