analysis,dataset,model,category,share,lower,upper,common_eligible_pairs,failed_reference_probes
common_support,RefCOCO,groundingdino,winner_missing,0.0002636435539151068,0.0,0.0008486923663017637,362,3793
common_support,RefCOCO,groundingdino,competitor_missing,0.2791985235960981,0.21253669065059483,0.3509600827760219,362,3793
common_support,RefCOCO,groundingdino,threatening_birth,0.04745583970471922,0.02918991764073773,0.06878434736519094,362,3793
common_support,RefCOCO,groundingdino,ranking_reversal,0.6730819931452676,0.6024486633534142,0.7427121360715487,362,3793
common_support,RefCOCO,owlv2,winner_missing,0.004228638086905804,0.0009548996599478614,0.008711501298661365,362,6858
common_support,RefCOCO,owlv2,competitor_missing,0.30489938757655294,0.2502576303418901,0.36581742830580294,362,6858
common_support,RefCOCO,owlv2,threatening_birth,0.12073490813648294,0.08981886381489995,0.15376979476291705,362,6858
common_support,RefCOCO,owlv2,ranking_reversal,0.5701370662000583,0.5119132797679328,0.626556037778674,362,6858
common_support,RefCOCO,yoloworld,winner_missing,0.05569827183559085,0.03770989884574504,0.07646708789273118,362,8564
common_support,RefCOCO,yoloworld,competitor_missing,0.5634049509574965,0.5112591639225845,0.6182380607223539,362,8564
common_support,RefCOCO,yoloworld,threatening_birth,0.02685660906118636,0.015801897075535146,0.039871482625606115,362,8564
common_support,RefCOCO,yoloworld,ranking_reversal,0.3540401681457263,0.30350032672772104,0.40384078433882925,362,8564
common_support,RefCOCO+,groundingdino,winner_missing,0.0005945303210463733,0.0,0.0019150112193013127,746,8410
common_support,RefCOCO+,groundingdino,competitor_missing,0.3057074910820452,0.2611083073238559,0.35485951076259065,746,8410
common_support,RefCOCO+,groundingdino,threatening_birth,0.07859690844233055,0.06051957923191647,0.09889336049177025,746,8410
common_support,RefCOCO+,groundingdino,ranking_reversal,0.6151010701545779,0.5649358048230458,0.6613176375938897,746,8410
common_support,RefCOCO+,owlv2,winner_missing,0.01855379188712522,0.009699835185707766,0.029372014772954484,746,14175
common_support,RefCOCO+,owlv2,competitor_missing,0.3046913580246914,0.26398702143959174,0.34647094454325705,746,14175
common_support,RefCOCO+,owlv2,threatening_birth,0.14264550264550266,0.11780905525960757,0.16834667894021968,746,14175
common_support,RefCOCO+,owlv2,ranking_reversal,0.5341093474426808,0.4924600560702352,0.5757582040504242,746,14175
common_support,RefCOCO+,yoloworld,winner_missing,0.0823944011515362,0.06556908547452246,0.10020562990342115,746,20147
common_support,RefCOCO+,yoloworld,competitor_missing,0.5975083138928873,0.5622152117538234,0.6306817323396833,746,20147
common_support,RefCOCO+,yoloworld,threatening_birth,0.03360301781903013,0.024633350769538185,0.042979258709285234,746,20147
common_support,RefCOCO+,yoloworld,ranking_reversal,0.2864942671365464,0.25722822794663136,0.3192981045506339,746,20147
common_support,Ref-L4,groundingdino,winner_missing,0.0004697592483852026,0.0,0.0011288306586185377,780,8515
common_support,Ref-L4,groundingdino,competitor_missing,0.08209042865531416,0.06190468561189803,0.10384152859081477,780,8515
common_support,Ref-L4,groundingdino,threatening_birth,0.07974163241338814,0.06015575365776671,0.1021801013953509,780,8515
common_support,Ref-L4,groundingdino,ranking_reversal,0.8376981796829125,0.8088735922995968,0.866169046623338,780,8515
common_support,Ref-L4,owlv2,winner_missing,0.00743911853463401,0.0030963855439706616,0.012494667406824547,780,14249
common_support,Ref-L4,owlv2,competitor_missing,0.20387395606709244,0.17069275865062478,0.23711538020818343,780,14249
common_support,Ref-L4,owlv2,threatening_birth,0.2276650993052144,0.1993336963432947,0.2580294579790926,780,14249
common_support,Ref-L4,owlv2,ranking_reversal,0.5610218260930592,0.5274479709619312,0.596554168065147,780,14249
common_support,Ref-L4,yoloworld,winner_missing,0.0575465902109359,0.044071873945703714,0.07195990817514274,780,19532
common_support,Ref-L4,yoloworld,competitor_missing,0.5895965594921155,0.5548008619311503,0.6249072159788713,780,19532
common_support,Ref-L4,yoloworld,threatening_birth,0.05898013516280975,0.04591506804008837,0.07313413844782234,780,19532
common_support,Ref-L4,yoloworld,ranking_reversal,0.2938767151341388,0.26381369311415304,0.32432220518928534,780,19532
