dataset,model,family,risk_share,lower,upper,manifest_pairs,eligible_pairs,failed_reference_probes,bootstrap_repetitions
RefCOCO,groundingdino,blur,0.3113058720420684,0.2904622783633479,0.33223861620275885,500,499,5705,2000
RefCOCO,groundingdino,brightness,0.06538124452234882,0.05274374358986075,0.0785635596993631,500,499,5705,2000
RefCOCO,groundingdino,jpeg,0.11253286590709903,0.09702039587066619,0.12788543472435077,500,499,5705,2000
RefCOCO,groundingdino,resolution,0.235056967572305,0.21247809595082,0.2571022485596011,500,499,5705,2000
RefCOCO,groundingdino,gaussian_noise,0.2757230499561788,0.24749659927821663,0.30605498113780266,500,499,5705,2000
RefCOCO,owlv2,blur,0.3128633336856569,0.29895652324823363,0.3279541847957336,500,488,9461,2000
RefCOCO,owlv2,brightness,0.10865659021245111,0.09673832643511142,0.12058611692082766,500,488,9461,2000
RefCOCO,owlv2,jpeg,0.16361906775182328,0.15356255403334174,0.17403569998054497,500,488,9461,2000
RefCOCO,owlv2,resolution,0.22650882570552797,0.2120571773951509,0.24052609673790776,500,488,9461,2000
RefCOCO,owlv2,gaussian_noise,0.18835218264454073,0.17589543264416282,0.2023702281595247,500,488,9461,2000
RefCOCO,yoloworld,blur,0.3252399121285698,0.31148973159676824,0.34024879155627025,500,364,8649,2000
RefCOCO,yoloworld,brightness,0.06416926812348249,0.052451021861827235,0.07559797646532893,500,364,8649,2000
RefCOCO,yoloworld,jpeg,0.16314024742744826,0.15022413836868037,0.1758732512749042,500,364,8649,2000
RefCOCO,yoloworld,resolution,0.2865071106486299,0.2697718304946068,0.30266043711309265,500,364,8649,2000
RefCOCO,yoloworld,gaussian_noise,0.16094346167186957,0.1464395203416016,0.17507431490456374,500,364,8649,2000
RefCOCO+,groundingdino,blur,0.31149743848156547,0.2968559511802822,0.32582716162113234,1000,1000,11907,2000
RefCOCO+,groundingdino,brightness,0.053078021331989585,0.04382618083552772,0.061908675129014094,1000,1000,11907,2000
RefCOCO+,groundingdino,jpeg,0.3004115226337449,0.28247449702152466,0.31984176497389144,1000,1000,11907,2000
RefCOCO+,groundingdino,resolution,0.21894683799445705,0.20521569787805255,0.2332385081215275,1000,1000,11907,2000
RefCOCO+,groundingdino,gaussian_noise,0.11606617955824305,0.10398880240229118,0.1289183581919319,1000,1000,11907,2000
RefCOCO+,owlv2,blur,0.3155177002927868,0.30505537815751027,0.3265042606701391,1000,968,18785,2000
RefCOCO+,owlv2,brightness,0.08884748469523555,0.08123875751595216,0.09668339638168551,1000,968,18785,2000
RefCOCO+,owlv2,jpeg,0.20420548309821665,0.1954920930324616,0.21326569716649363,1000,968,18785,2000
RefCOCO+,owlv2,resolution,0.22246473249933457,0.21355609850345464,0.23151685506024577,1000,968,18785,2000
RefCOCO+,owlv2,gaussian_noise,0.1689645994144264,0.15965565657226843,0.17841502366874926,1000,968,18785,2000
RefCOCO+,yoloworld,blur,0.319032226466843,0.31089013869241294,0.32817923888141837,1000,757,20418,2000
RefCOCO+,yoloworld,brightness,0.05402096189636595,0.047076852206361375,0.060931401681858635,1000,757,20418,2000
RefCOCO+,yoloworld,jpeg,0.2202468410226271,0.2114893902143744,0.22861386822817592,1000,757,20418,2000
RefCOCO+,yoloworld,resolution,0.2809775688118327,0.2717658521943265,0.2909162173864128,1000,757,20418,2000
RefCOCO+,yoloworld,gaussian_noise,0.12572240180233127,0.11620854555512541,0.13451525978597578,1000,757,20418,2000
Ref-L4,groundingdino,blur,0.3219277108433735,0.30614765852197623,0.3385214001763783,1000,1000,10375,2000
Ref-L4,groundingdino,brightness,0.0776867469879518,0.06743082932534934,0.08829820809143869,1000,1000,10375,2000
Ref-L4,groundingdino,jpeg,0.2487710843373494,0.23102684694053438,0.26675210582796155,1000,1000,10375,2000
Ref-L4,groundingdino,resolution,0.21368674698795181,0.19924947286825323,0.2280635212107778,1000,1000,10375,2000
Ref-L4,groundingdino,gaussian_noise,0.1379277108433735,0.12538577724802058,0.1518756657480597,1000,1000,10375,2000
Ref-L4,owlv2,blur,0.30762550881953865,0.2972645949376775,0.31770915757520585,1000,998,18425,2000
Ref-L4,owlv2,brightness,0.09774762550881953,0.0892548558051039,0.10638565858968306,1000,998,18425,2000
Ref-L4,owlv2,jpeg,0.18957937584803256,0.18065718304300357,0.19852293151925385,1000,998,18425,2000
Ref-L4,owlv2,resolution,0.2301763907734057,0.22022934442687409,0.2399193915946791,1000,998,18425,2000
Ref-L4,owlv2,gaussian_noise,0.17487109905020354,0.165528920657639,0.18512096457194915,1000,998,18425,2000
Ref-L4,yoloworld,blur,0.32594257688770817,0.31641352741962886,0.33562837456273575,1000,781,19574,2000
Ref-L4,yoloworld,brightness,0.05987534484520282,0.05322328296456323,0.06724757907900566,1000,781,19574,2000
Ref-L4,yoloworld,jpeg,0.20098089302135486,0.19144898845572067,0.20992433167104493,1000,781,19574,2000
Ref-L4,yoloworld,resolution,0.26729334831919893,0.25762547281517073,0.27714059766530985,1000,781,19574,2000
Ref-L4,yoloworld,gaussian_noise,0.1459078369265352,0.13628691543726684,0.15530518977712676,1000,781,19574,2000
