dataset,model,family,full_manifest_family_stability,eligibility,eligible_reference_trials,minimum_arbitrary_mixture_gap,maximum_arbitrary_mixture_gap,minimum_family,maximum_family,ranking_invariant_for_all_nonnegative_family_weights
RefCOCO,groundingdino,blur,0.776,0.998,7984.0,,,,,
RefCOCO,groundingdino,brightness,0.9513750000000001,0.998,7984.0,,,,,
RefCOCO,groundingdino,jpeg,0.91775,0.998,7984.0,,,,,
RefCOCO,groundingdino,resolution,0.830375,0.998,7984.0,,,,,
RefCOCO,groundingdino,gaussian_noise,0.801375,0.998,7984.0,,,,,
RefCOCO,owlv2,blur,0.606,0.976,7808.0,,,,,
RefCOCO,owlv2,brightness,0.8474999999999999,0.976,7808.0,,,,,
RefCOCO,owlv2,jpeg,0.7825,0.976,7808.0,,,,,
RefCOCO,owlv2,resolution,0.708125,0.976,7808.0,,,,,
RefCOCO,owlv2,gaussian_noise,0.75325,0.976,7808.0,,,,,
RefCOCO,yoloworld,blur,0.37637499999999996,0.728,5824.0,,,,,
RefCOCO,yoloworld,brightness,0.658625,0.728,5824.0,,,,,
RefCOCO,yoloworld,jpeg,0.5516249999999999,0.728,5824.0,,,,,
RefCOCO,yoloworld,resolution,0.41825,0.728,5824.0,,,,,
RefCOCO,yoloworld,gaussian_noise,0.554,0.728,5824.0,,,,,
RefCOCO,groundingdino_minus_owlv2,mixture_gap_summary,0.11590000000000003,,,0.04812499999999997,0.17000000000000004,gaussian_noise,blur,True
RefCOCO,groundingdino_minus_yoloworld,mixture_gap_summary,0.3436,,,0.2473749999999999,0.41212499999999996,gaussian_noise,resolution,True
RefCOCO,owlv2_minus_yoloworld,mixture_gap_summary,0.2277,,,0.1888749999999999,0.289875,brightness,resolution,True
RefCOCO+,groundingdino,blur,0.7681875,1.0,16000.0,,,,,
RefCOCO+,groundingdino,brightness,0.9605,1.0,16000.0,,,,,
RefCOCO+,groundingdino,jpeg,0.7764375,1.0,16000.0,,,,,
RefCOCO+,groundingdino,resolution,0.8370625,1.0,16000.0,,,,,
RefCOCO+,groundingdino,gaussian_noise,0.913625,1.0,16000.0,,,,,
RefCOCO+,owlv2,blur,0.5975624999999999,0.968,15488.0,,,,,
RefCOCO+,owlv2,brightness,0.8636874999999999,0.968,15488.0,,,,,
RefCOCO+,owlv2,jpeg,0.7282500000000001,0.968,15488.0,,,,,
RefCOCO+,owlv2,resolution,0.7068125,0.968,15488.0,,,,,
RefCOCO+,owlv2,gaussian_noise,0.769625,0.968,15488.0,,,,,
RefCOCO+,yoloworld,blur,0.349875,0.757,12112.0,,,,,
RefCOCO+,yoloworld,brightness,0.6880625,0.757,12112.0,,,,,
RefCOCO+,yoloworld,jpeg,0.4759375,0.757,12112.0,,,,,
RefCOCO+,yoloworld,resolution,0.3984375,0.757,12112.0,,,,,
RefCOCO+,yoloworld,gaussian_noise,0.5965625,0.757,12112.0,,,,,
RefCOCO+,groundingdino_minus_owlv2,mixture_gap_summary,0.11797500000000005,,,0.04818749999999994,0.17062500000000014,jpeg,blur,True
RefCOCO+,groundingdino_minus_yoloworld,mixture_gap_summary,0.3493875,,,0.2724375,0.43862500000000004,brightness,resolution,True
RefCOCO+,owlv2_minus_yoloworld,mixture_gap_summary,0.23141249999999997,,,0.1730625,0.30837499999999995,gaussian_noise,resolution,True
Ref-L4,groundingdino,blur,0.79125,1.0,16000.0,,,,,
Ref-L4,groundingdino,brightness,0.949625,1.0,16000.0,,,,,
Ref-L4,groundingdino,jpeg,0.8386875,1.0,16000.0,,,,,
Ref-L4,groundingdino,resolution,0.8614375,1.0,16000.0,,,,,
Ref-L4,groundingdino,gaussian_noise,0.9105625,1.0,16000.0,,,,,
Ref-L4,owlv2,blur,0.6437499999999999,0.998,15968.0,,,,,
Ref-L4,owlv2,brightness,0.8854375,0.998,15968.0,,,,,
Ref-L4,owlv2,jpeg,0.7796875,0.998,15968.0,,,,,
Ref-L4,owlv2,resolution,0.7329375,0.998,15968.0,,,,,
Ref-L4,owlv2,gaussian_noise,0.796625,0.998,15968.0,,,,,
Ref-L4,yoloworld,blur,0.38225000000000003,0.781,12496.0,,,,,
Ref-L4,yoloworld,brightness,0.70775,0.781,12496.0,,,,,
Ref-L4,yoloworld,jpeg,0.5351250000000001,0.781,12496.0,,,,,
Ref-L4,yoloworld,resolution,0.454,0.781,12496.0,,,,,
Ref-L4,yoloworld,gaussian_noise,0.6025,0.781,12496.0,,,,,
Ref-L4,groundingdino_minus_owlv2,mixture_gap_summary,0.10262500000000004,,,0.05900000000000005,0.14750000000000008,jpeg,blur,True
Ref-L4,groundingdino_minus_yoloworld,mixture_gap_summary,0.3339875,,,0.24187500000000006,0.409,brightness,blur,True
Ref-L4,owlv2_minus_yoloworld,mixture_gap_summary,0.2313625,,,0.1776875,0.2789375,brightness,resolution,True
