dataset,model,category,risk,lower,upper,denominator_pair_probe_slots
RefCOCO,groundingdino,clean_ineligible,0.002,0.0,0.006,40000
RefCOCO,groundingdino,winner_missing,5e-05,0.0,0.000125,40000
RefCOCO,groundingdino,competitor_missing,0.046199999999999984,0.03579999999999999,0.057575625000000005,40000
RefCOCO,groundingdino,threatening_birth,0.008700000000000001,0.005924375000000001,0.011825624999999998,40000
RefCOCO,groundingdino,ranking_reversal,0.08767499999999998,0.07442249999999997,0.101250625,40000
RefCOCO,groundingdino,stable,0.8553750000000004,0.8383237500000005,0.8722768750000006,40000
RefCOCO,owlv2,clean_ineligible,0.024,0.012,0.038,40000
RefCOCO,owlv2,winner_missing,0.0027499999999999994,0.0007750000000000001,0.005524999999999999,40000
RefCOCO,owlv2,competitor_missing,0.08262500000000005,0.06952375000000004,0.09735499999999994,40000
RefCOCO,owlv2,threatening_birth,0.02839999999999999,0.02165,0.03559999999999998,40000
RefCOCO,owlv2,ranking_reversal,0.12275000000000008,0.10744750000000007,0.13850312500000014,40000
RefCOCO,owlv2,stable,0.7394750000000003,0.7159737500000002,0.7611262500000006,40000
RefCOCO,yoloworld,clean_ineligible,0.272,0.232,0.312,40000
RefCOCO,yoloworld,winner_missing,0.012050000000000002,0.007975000000000001,0.016650624999999995,40000
RefCOCO,yoloworld,competitor_missing,0.12262499999999998,0.106049375,0.14000062500000005,40000
RefCOCO,yoloworld,threatening_birth,0.005749999999999998,0.003175,0.008975625000000001,40000
RefCOCO,yoloworld,ranking_reversal,0.07580000000000002,0.06404937499999996,0.08817562500000005,40000
RefCOCO,yoloworld,stable,0.511775,0.4790218750000002,0.5438237500000002,40000
RefCOCO+,groundingdino,clean_ineligible,0.0,0.0,0.0,80000
RefCOCO+,groundingdino,winner_missing,6.25e-05,0.0,0.0001875,80000
RefCOCO+,groundingdino,competitor_missing,0.05160000000000006,0.044962187500000014,0.058837812500000024,80000
RefCOCO+,groundingdino,threatening_birth,0.010925,0.008349687500000003,0.0134384375,80000
RefCOCO+,groundingdino,ranking_reversal,0.08625000000000006,0.0763743750000001,0.09647656250000013,80000
RefCOCO+,groundingdino,stable,0.8511624999999996,0.8388999999999996,0.8632021874999999,80000
RefCOCO+,owlv2,clean_ineligible,0.032,0.022,0.043,80000
RefCOCO+,owlv2,winner_missing,0.006150000000000002,0.0037746875000000003,0.008800312500000004,80000
RefCOCO+,owlv2,competitor_missing,0.08916250000000008,0.07858562500000002,0.09977656250000003,80000
RefCOCO+,owlv2,threatening_birth,0.03044999999999996,0.025324999999999983,0.03587531249999998,80000
RefCOCO+,owlv2,ranking_reversal,0.10905000000000013,0.09902187500000015,0.12000125000000005,80000
RefCOCO+,owlv2,stable,0.7331875000000002,0.7154246874999999,0.7493256249999994,80000
RefCOCO+,yoloworld,clean_ineligible,0.243,0.216,0.27,80000
RefCOCO+,yoloworld,winner_missing,0.021512499999999997,0.0168625,0.026875624999999993,80000
RefCOCO+,yoloworld,competitor_missing,0.15137500000000012,0.137485625,0.16540406250000003,80000
RefCOCO+,yoloworld,threatening_birth,0.008462500000000005,0.006300000000000005,0.011087499999999998,80000
RefCOCO+,yoloworld,ranking_reversal,0.07387500000000005,0.06526250000000004,0.08234249999999994,80000
RefCOCO+,yoloworld,stable,0.5017750000000006,0.4798496875000003,0.5244662499999997,80000
Ref-L4,groundingdino,clean_ineligible,0.0,0.0,0.0,80000
Ref-L4,groundingdino,winner_missing,7.500000000000001e-05,1.25e-05,0.0001625,80000
Ref-L4,groundingdino,competitor_missing,0.011774999999999994,0.008962187500000003,0.014737499999999988,80000
Ref-L4,groundingdino,threatening_birth,0.01052499999999999,0.008262187500000002,0.013200937499999992,80000
Ref-L4,groundingdino,ranking_reversal,0.10731250000000014,0.09653531250000012,0.11805250000000012,80000
Ref-L4,groundingdino,stable,0.8703124999999999,0.8587846874999997,0.8818509374999999,80000
Ref-L4,owlv2,clean_ineligible,0.002,0.0,0.005,80000
Ref-L4,owlv2,winner_missing,0.0017749999999999999,0.0009125000000000001,0.002825,80000
Ref-L4,owlv2,competitor_missing,0.05447500000000002,0.04718624999999996,0.06221250000000001,80000
Ref-L4,owlv2,threatening_birth,0.050075000000000036,0.04333531250000001,0.05701281250000001,80000
Ref-L4,owlv2,ranking_reversal,0.12398750000000025,0.1130109375000003,0.13485062500000009,80000
Ref-L4,owlv2,stable,0.7676875000000011,0.7523365625000008,0.7829631250000001,80000
Ref-L4,yoloworld,clean_ineligible,0.219,0.193,0.244,80000
Ref-L4,yoloworld,winner_missing,0.014049999999999993,0.010787187499999995,0.017638124999999994,80000
Ref-L4,yoloworld,competitor_missing,0.1444749999999999,0.1321121875000001,0.15776437500000007,80000
Ref-L4,yoloworld,threatening_birth,0.014399999999999996,0.011149999999999997,0.017838124999999986,80000
Ref-L4,yoloworld,ranking_reversal,0.0717500000000001,0.06359843750000008,0.08013843750000009,80000
Ref-L4,yoloworld,stable,0.5363250000000003,0.5134668750000001,0.5582928125000006,80000
