dataset,model,family,severity_bin,strength_low,strength_high,strength_mid,full_manifest_stability,lower,upper,eligible_probe_trials
RefCOCO,groundingdino,blur,1,0.0,0.2,0.1,0.9293016270337922,0.9061288546284793,0.9482351797253559,1598
RefCOCO,groundingdino,blur,2,0.2,0.4,0.3,0.8421024327784892,0.8101352786377709,0.8729770632402427,1562
RefCOCO,groundingdino,blur,3,0.4,0.6,0.5,0.7601761083743843,0.7220385908498955,0.8009878259784688,1624
RefCOCO,groundingdino,blur,4,0.6,0.8,0.7,0.7031779816513761,0.663137008748045,0.7455899572195077,1635
RefCOCO,groundingdino,blur,5,0.8,1.0,0.9,0.6459897763578275,0.6025915487586787,0.689817498144368,1565
RefCOCO,groundingdino,brightness,1,0.0,0.2,0.1,0.9802577777777778,0.9699604837803789,0.9892624478548157,1575
RefCOCO,groundingdino,brightness,2,0.2,0.4,0.3,0.9708907138344915,0.9571321348436106,0.9822927084041561,1583
RefCOCO,groundingdino,brightness,3,0.4,0.6,0.5,0.9471191646191647,0.930489519684218,0.9628333673518072,1628
RefCOCO,groundingdino,brightness,4,0.6,0.8,0.7,0.9447647814910026,0.9233562524661422,0.9628702517798143,1556
RefCOCO,groundingdino,brightness,5,0.8,1.0,0.9,0.9153398294762485,0.8927627416520211,0.9361055683119135,1642
RefCOCO,groundingdino,jpeg,1,0.0,0.2,0.1,0.9591251596424011,0.9429415822996983,0.9740297844743196,1566
RefCOCO,groundingdino,jpeg,2,0.2,0.4,0.3,0.9523481575603558,0.935989609930946,0.9668591079880261,1574
RefCOCO,groundingdino,jpeg,3,0.4,0.6,0.5,0.9294678111587983,0.9078838190968543,0.9486031399707866,1631
RefCOCO,groundingdino,jpeg,4,0.6,0.8,0.7,0.8984458128078818,0.8736117704347991,0.9224316622015465,1624
RefCOCO,groundingdino,jpeg,5,0.8,1.0,0.9,0.8504040276903713,0.8210871236501466,0.8782707286432161,1589
RefCOCO,groundingdino,resolution,1,0.0,0.2,0.1,0.8534446552814674,0.8220498694328482,0.8842168282113202,1581
RefCOCO,groundingdino,resolution,2,0.2,0.4,0.3,0.8560511540860886,0.8225882273047221,0.8859389164406974,1603
RefCOCO,groundingdino,resolution,3,0.4,0.6,0.5,0.8412460732984293,0.8069936894203028,0.8735270721117835,1528
RefCOCO,groundingdino,resolution,4,0.6,0.8,0.7,0.826931556632344,0.7912504097158728,0.8597017823208709,1651
RefCOCO,groundingdino,resolution,5,0.8,1.0,0.9,0.7757433682911783,0.7390233200156516,0.8141354849694422,1621
RefCOCO,groundingdino,gaussian_noise,1,0.0,0.2,0.1,0.8970274151436032,0.8705800076985671,0.9213256945815446,1532
RefCOCO,groundingdino,gaussian_noise,2,0.2,0.4,0.3,0.8011200519143414,0.7663495641117776,0.8370222851616468,1541
RefCOCO,groundingdino,gaussian_noise,3,0.4,0.6,0.5,0.7708228849665246,0.7324847136222911,0.8082438070396892,1643
RefCOCO,groundingdino,gaussian_noise,4,0.6,0.8,0.7,0.779491844416562,0.7427858689261935,0.8165853979309053,1594
RefCOCO,groundingdino,gaussian_noise,5,0.8,1.0,0.9,0.76489486260454,0.7273270091410897,0.8006112934822894,1674
RefCOCO,owlv2,blur,1,0.0,0.2,0.1,0.7520101716465353,0.7130694933351944,0.7919243770441774,1573
RefCOCO,owlv2,blur,2,0.2,0.4,0.3,0.7053876478318002,0.664734317787642,0.7457276977055108,1522
RefCOCO,owlv2,blur,3,0.4,0.6,0.5,0.5799597989949749,0.5340687527920185,0.6260197237740535,1592
RefCOCO,owlv2,blur,4,0.6,0.8,0.7,0.5155533249686324,0.46915299347684797,0.5622155466552524,1594
RefCOCO,owlv2,blur,5,0.8,1.0,0.9,0.47809299279633266,0.43206394754785593,0.5254523091946761,1527
RefCOCO,owlv2,brightness,1,0.0,0.2,0.1,0.9061041666666667,0.8827451760783404,0.9276174889928087,1536
RefCOCO,owlv2,brightness,2,0.2,0.4,0.3,0.8731635423400128,0.846059943192008,0.8996208184511729,1547
RefCOCO,owlv2,brightness,3,0.4,0.6,0.5,0.8419912225705328,0.8133309155383623,0.873226556675063,1595
RefCOCO,owlv2,brightness,4,0.6,0.8,0.7,0.8298234139960758,0.7990210663947503,0.8594091920713918,1529
RefCOCO,owlv2,brightness,5,0.8,1.0,0.9,0.7888469706433479,0.7558643043854497,0.8196398238264697,1601
RefCOCO,owlv2,jpeg,1,0.0,0.2,0.1,0.8274644023514043,0.7977688063720111,0.8566942389365496,1531
RefCOCO,owlv2,jpeg,2,0.2,0.4,0.3,0.8380116204002582,0.8092560768234787,0.8673039621609697,1549
RefCOCO,owlv2,jpeg,3,0.4,0.6,0.5,0.7971486146095719,0.7636293405257926,0.8305046351890698,1588
RefCOCO,owlv2,jpeg,4,0.6,0.8,0.7,0.7382957835116426,0.7017887498200539,0.7738779533761055,1589
RefCOCO,owlv2,jpeg,5,0.8,1.0,0.9,0.7129645390070922,0.6750076579483208,0.7505766864638006,1551
