dataset,model,unit_to_probe_cost_ratio,continuous_optimal_R,bounded_integer_optimal_R,probe_share_at_optimum
refcoco,groundingdino,5,3.422125268096611,3,0.4384323710967313
refcoco,groundingdino,10,4.839615966281891,5,0.31900411484194613
refcoco,groundingdino,25,7.652104726983715,8,0.22646931277381993
refcoco,groundingdino,50,10.82171028559964,11,0.175547535583525
refcoco,groundingdino,100,15.30420945396743,15,0.13505725077071434
refcoco,groundingdino,250,24.198079831409455,24,0.08891395984618264
refcoco,groundingdino,500,34.22125268096611,34,0.06444819042543669
refcoco,groundingdino,1000,48.39615966281891,48,0.04652535677515924
refcoco,yoloworld,5,1.9851831406996692,2,0.2826888775781254
refcoco,yoloworld,10,2.8074729213718883,3,0.2080651532653144
refcoco,yoloworld,25,4.43900445039099,4,0.16461133564397895
refcoco,yoloworld,50,6.277700297177465,6,0.11611200800322435
refcoco,yoloworld,100,8.87800890078198,9,0.08052463086323233
refcoco,yoloworld,250,14.037364606859443,14,0.053298638847325656
refcoco,yoloworld,500,19.851831406996695,20,0.0379152973146365
refcoco,yoloworld,1000,28.074729213718886,28,0.027378949802432273
refcocoplus,groundingdino,5,3.591510643258702,4,0.3920778386571786
refcocoplus,groundingdino,10,5.079163061103775,5,0.3403510952910028
refcocoplus,groundingdino,25,8.030861940240454,8,0.2438413053090476
refcocoplus,groundingdino,50,11.357353873433958,11,0.18997273076363333
refcocoplus,groundingdino,100,16.06172388048091,16,0.1388492429791253
refcocoplus,groundingdino,250,25.395815305518877,25,0.09353913733339883
refcocoplus,groundingdino,500,35.91510643258702,36,0.06686894245680097
refcocoplus,groundingdino,1000,50.79163061103775,51,0.04814856035532361
refcocoplus,yoloworld,5,2.1591566252329595,2,0.3179628221957238
refcocoplus,yoloworld,10,3.053508582692173,3,0.23710545463507174
refcocoplus,yoloworld,25,4.828020988089935,5,0.15716957852989652
refcocoplus,yoloworld,50,6.827852760778737,7,0.11754229104805801
refcocoplus,yoloworld,100,9.65604197617987,10,0.08528705446728828
refcocoplus,yoloworld,250,15.267542913460865,15,0.0585217522692964
refcocoplus,yoloworld,500,21.591566252329592,22,0.04065827446828899
refcocoplus,yoloworld,1000,30.53508582692173,31,0.029198923839978665
refl4,groundingdino,5,3.3729309603503697,3,0.43131548330162095
refl4,groundingdino,10,4.7700447090756,5,0.3127462016223725
refl4,groundingdino,25,7.542102910757074,8,0.2214363981753362
refl4,groundingdino,50,10.666144225206251,11,0.1713955282470787
refl4,groundingdino,100,15.084205821514148,15,0.1317099183214817
refl4,groundingdino,250,23.850223545378004,24,0.0865957696039993
refl4,groundingdino,500,33.729309603503694,34,0.06272396381432747
refl4,groundingdino,1000,47.70044709075601,48,0.045257436054731266
refl4,yoloworld,5,2.1839318635278877,2,0.3229316855896905
refl4,yoloworld,10,3.088546060699886,3,0.24125771004900495
refl4,yoloworld,25,4.88342010507615,5,0.1602159603083178
refl4,yoloworld,50,6.906198943364136,7,0.11992988049843216
refl4,yoloworld,100,9.7668402101523,10,0.08708411251092676
refl4,yoloworld,250,15.44273030349943,15,0.05979171103769361
refl4,yoloworld,500,21.839318635278875,22,0.041557695713632624
refl4,yoloworld,1000,30.88546060699886,31,0.029852735607199005
