dataset,model,probe_count,target_half_width_95,required_pair_count
refcoco,groundingdino,1,0.01,4756
refcoco,groundingdino,1,0.02,1189
refcoco,groundingdino,1,0.03,529
refcoco,groundingdino,1,0.05,191
refcoco,groundingdino,2,0.01,3089
refcoco,groundingdino,2,0.02,773
refcoco,groundingdino,2,0.03,344
refcoco,groundingdino,2,0.05,124
refcoco,groundingdino,5,0.01,2090
refcoco,groundingdino,5,0.02,523
refcoco,groundingdino,5,0.03,233
refcoco,groundingdino,5,0.05,84
refcoco,groundingdino,10,0.01,1757
refcoco,groundingdino,10,0.02,440
refcoco,groundingdino,10,0.03,196
refcoco,groundingdino,10,0.05,71
refcoco,groundingdino,20,0.01,1590
refcoco,groundingdino,20,0.02,398
refcoco,groundingdino,20,0.03,177
refcoco,groundingdino,20,0.05,64
refcoco,groundingdino,40,0.01,1507
refcoco,groundingdino,40,0.02,377
refcoco,groundingdino,40,0.03,168
refcoco,groundingdino,40,0.05,61
refcoco,groundingdino,80,0.01,1465
refcoco,groundingdino,80,0.02,367
refcoco,groundingdino,80,0.03,163
refcoco,groundingdino,80,0.05,59
refcoco,yoloworld,1,0.01,9610
refcoco,yoloworld,1,0.02,2403
refcoco,yoloworld,1,0.03,1068
refcoco,yoloworld,1,0.05,385
refcoco,yoloworld,2,0.01,7492
refcoco,yoloworld,2,0.02,1873
refcoco,yoloworld,2,0.03,833
refcoco,yoloworld,2,0.05,300
refcoco,yoloworld,5,0.01,6221
refcoco,yoloworld,5,0.02,1556
refcoco,yoloworld,5,0.03,692
refcoco,yoloworld,5,0.05,249
refcoco,yoloworld,10,0.01,5798
refcoco,yoloworld,10,0.02,1450
refcoco,yoloworld,10,0.03,645
refcoco,yoloworld,10,0.05,232
refcoco,yoloworld,20,0.01,5586
refcoco,yoloworld,20,0.02,1397
refcoco,yoloworld,20,0.03,621
refcoco,yoloworld,20,0.05,224
refcoco,yoloworld,40,0.01,5480
refcoco,yoloworld,40,0.02,1370
refcoco,yoloworld,40,0.03,609
refcoco,yoloworld,40,0.05,220
refcoco,yoloworld,80,0.01,5427
refcoco,yoloworld,80,0.02,1357
refcoco,yoloworld,80,0.03,603
refcoco,yoloworld,80,0.05,218
refcocoplus,groundingdino,1,0.01,4868
refcocoplus,groundingdino,1,0.02,1217
refcocoplus,groundingdino,1,0.03,541
refcocoplus,groundingdino,1,0.05,195
refcocoplus,groundingdino,2,0.01,3114
refcocoplus,groundingdino,2,0.02,779
refcocoplus,groundingdino,2,0.03,346
refcocoplus,groundingdino,2,0.05,125
refcocoplus,groundingdino,5,0.01,2062
refcocoplus,groundingdino,5,0.02,516
refcocoplus,groundingdino,5,0.03,230
refcocoplus,groundingdino,5,0.05,83
refcocoplus,groundingdino,10,0.01,1711
refcocoplus,groundingdino,10,0.02,428
refcocoplus,groundingdino,10,0.03,191
refcocoplus,groundingdino,10,0.05,69
refcocoplus,groundingdino,20,0.01,1536
refcocoplus,groundingdino,20,0.02,384
refcocoplus,groundingdino,20,0.03,171
refcocoplus,groundingdino,20,0.05,62
refcocoplus,groundingdino,40,0.01,1448
refcocoplus,groundingdino,40,0.02,362
refcocoplus,groundingdino,40,0.03,161
refcocoplus,groundingdino,40,0.05,58
refcocoplus,groundingdino,80,0.01,1404
refcocoplus,groundingdino,80,0.02,351
refcocoplus,groundingdino,80,0.03,156
refcocoplus,groundingdino,80,0.05,57
refcocoplus,yoloworld,1,0.01,9609
refcocoplus,yoloworld,1,0.02,2403
refcocoplus,yoloworld,1,0.03,1068
refcocoplus,yoloworld,1,0.05,385
refcocoplus,yoloworld,2,0.01,7291
refcocoplus,yoloworld,2,0.02,1823
refcocoplus,yoloworld,2,0.03,811
refcocoplus,yoloworld,2,0.05,292
refcocoplus,yoloworld,5,0.01,5900
refcocoplus,yoloworld,5,0.02,1475
refcocoplus,yoloworld,5,0.03,656
refcocoplus,yoloworld,5,0.05,236
refcocoplus,yoloworld,10,0.01,5436
refcocoplus,yoloworld,10,0.02,1359
refcocoplus,yoloworld,10,0.03,604
refcocoplus,yoloworld,10,0.05,218
refcocoplus,yoloworld,20,0.01,5205
refcocoplus,yoloworld,20,0.02,1302
refcocoplus,yoloworld,20,0.03,579
refcocoplus,yoloworld,20,0.05,209
refcocoplus,yoloworld,40,0.01,5089
refcocoplus,yoloworld,40,0.02,1273
refcocoplus,yoloworld,40,0.03,566
refcocoplus,yoloworld,40,0.05,204
refcocoplus,yoloworld,80,0.01,5031
refcocoplus,yoloworld,80,0.02,1258
refcocoplus,yoloworld,80,0.03,559
refcocoplus,yoloworld,80,0.05,202
refl4,groundingdino,1,0.01,4338
refl4,groundingdino,1,0.02,1085
refl4,groundingdino,1,0.03,482
refl4,groundingdino,1,0.05,174
refl4,groundingdino,2,0.01,2831
refl4,groundingdino,2,0.02,708
refl4,groundingdino,2,0.03,315
refl4,groundingdino,2,0.05,114
refl4,groundingdino,5,0.01,1927
refl4,groundingdino,5,0.02,482
refl4,groundingdino,5,0.03,215
refl4,groundingdino,5,0.05,78
refl4,groundingdino,10,0.01,1626
refl4,groundingdino,10,0.02,407
refl4,groundingdino,10,0.03,181
refl4,groundingdino,10,0.05,66
refl4,groundingdino,20,0.01,1475
refl4,groundingdino,20,0.02,369
refl4,groundingdino,20,0.03,164
refl4,groundingdino,20,0.05,59
refl4,groundingdino,40,0.01,1400
refl4,groundingdino,40,0.02,350
refl4,groundingdino,40,0.03,156
refl4,groundingdino,40,0.05,56
refl4,groundingdino,80,0.01,1362
refl4,groundingdino,80,0.02,341
refl4,groundingdino,80,0.03,152
refl4,groundingdino,80,0.05,55
refl4,yoloworld,1,0.01,9558
refl4,yoloworld,1,0.02,2390
refl4,yoloworld,1,0.03,1062
refl4,yoloworld,1,0.05,383
refl4,yoloworld,2,0.01,7225
refl4,yoloworld,2,0.02,1807
refl4,yoloworld,2,0.03,803
refl4,yoloworld,2,0.05,289
refl4,yoloworld,5,0.01,5825
refl4,yoloworld,5,0.02,1457
refl4,yoloworld,5,0.03,648
refl4,yoloworld,5,0.05,233
refl4,yoloworld,10,0.01,5359
refl4,yoloworld,10,0.02,1340
refl4,yoloworld,10,0.03,596
refl4,yoloworld,10,0.05,215
refl4,yoloworld,20,0.01,5125
refl4,yoloworld,20,0.02,1282
refl4,yoloworld,20,0.03,570
refl4,yoloworld,20,0.05,205
refl4,yoloworld,40,0.01,5009
refl4,yoloworld,40,0.02,1253
refl4,yoloworld,40,0.03,557
refl4,yoloworld,40,0.05,201
refl4,yoloworld,80,0.01,4951
refl4,yoloworld,80,0.02,1238
refl4,yoloworld,80,0.03,551
refl4,yoloworld,80,0.05,199
