dataset,model,pair_count,probe_count,between_variance_term,probe_variance_term,total_variance,standard_error,probe_variance_share,design_effect,effective_trials,variance_reduction_from_previous_budget
refcoco,groundingdino,500,1,7.407413478856445e-05,0.00017349556962025314,0.00024756970440881757,0.01573434791813177,0.7007948328514214,1.0,500.0,
refcoco,groundingdino,500,2,7.407413478856445e-05,8.674778481012657e-05,0.00016082191959869102,0.012681558248050237,0.5394027445176238,1.2992051671485785,769.701372258812,0.35039741642571065
refcoco,groundingdino,500,5,7.407413478856445e-05,3.469911392405063e-05,0.00010877324871261508,0.010429441438189059,0.31900411484194613,2.196820668594314,1138.0082296838923,0.32364164671057427
refcoco,groundingdino,500,10,7.407413478856445e-05,1.7349556962025314e-05,9.142369175058976e-05,0.009561573706801081,0.18977090762595897,3.692846504337207,1353.9690843168153,0.159502057420973
refcoco,groundingdino,500,20,7.407413478856445e-05,8.674778481012657e-06,8.27489132695771e-05,0.009096642967027842,0.10483253662500927,6.684898175822992,1495.909097937588,0.09488545381297953
refcoco,groundingdino,500,40,7.407413478856445e-05,4.3373892405063285e-06,7.841152402907078e-05,0.008855028177768311,0.05531571148774328,12.669001518794563,1578.6563740109939,0.052416268312504566
refcoco,groundingdino,500,80,7.407413478856445e-05,2.1686946202531642e-06,7.62428294088176e-05,0.008731714001776376,0.028444571601934164,24.637208204737703,1623.5605782763994,0.027657855743871695
refcoco,yoloworld,500,1,0.00027977320105400676,0.00022051455696202532,0.0005002877580160321,0.022367113314328967,0.44077544059145013,1.0,500.0,
refcoco,yoloworld,500,2,0.00027977320105400676,0.00011025727848101266,0.0003900304795350194,0.01974918933867969,0.2826888775781254,1.5592245594085499,641.3444387890627,0.22038772029572506
refcoco,yoloworld,500,5,0.00027977320105400676,4.4102911392405066e-05,0.00032387611244641184,0.017996558350040482,0.13617216490364745,3.2368982376341995,772.3443298072949,0.16961332654687522
refcoco,yoloworld,500,10,0.00027977320105400676,2.2051455696202533e-05,0.0003018246567502093,0.017373101529381832,0.07306048463248103,6.033021034676949,828.7721808461647,0.06808608245182379
refcoco,yoloworld,500,20,0.00027977320105400676,1.1025727848101267e-05,0.000290798928902108,0.017052827592575606,0.0379152973146365,11.625266628762448,860.1953244890467,0.03653024231624058
refcoco,yoloworld,500,40,0.00027977320105400676,5.512863924050633e-06,0.0002852860649780574,0.016890413404593074,0.01932398599446016,22.809757816933445,876.8177268919732,0.018957648657318193
refcoco,yoloworld,500,80,0.00027977320105400676,2.7564319620253166e-06,0.00028252963301603207,0.01680861781991702,0.009756257892668213,45.17874019327544,885.3721867603945,0.009661992997230029
